央视频道,#genre#
CCTV1,http://biaozhun114.com/tv/ysp.php?id=1
CCTV2,http://biaozhun114.com/tv/ysp.php?id=2
CCTV3,http://biaozhun114.com/tv/ysp.php?id=3
CCTV4,http://biaozhun114.com/tv/ysp.php?id=4
CCTV5,http://biaozhun114.com/tv/ysp.php?id=5
CCTV5+,http://biaozhun114.com/tv/ysp.php?id=6
CCTV6,http://biaozhun114.com/tv/ysp.php?id=7
CCTV6,http://biaozhun114.com/tv/ysp.php?id=8
CCTV7,http://biaozhun114.com/tv/ysp.php?id=9
CCTV8,http://biaozhun114.com/tv/ysp.php?id=10
CCTV9,http://biaozhun114.com/tv/ysp.php?id=11
CCTV10,http://biaozhun114.com/tv/ysp.php?id=12
CCTV11,http://biaozhun114.com/tv/ysp.php?id=13
CCTV12,http://biaozhun114.com/tv/ysp.php?id=14
CCTV13,http://biaozhun114.com/tv/ysp.php?id=15
CCTV14,http://biaozhun114.com/tv/ysp.php?id=16
CCTV15,http://biaozhun114.com/tv/ysp.php?id=17
CCTV16,http://biaozhun114.com/tv/ysp.php?id=18
CCTV16,http://biaozhun114.com/tv/ysp.php?id=19
CCTV17,http://biaozhun114.com/tv/ysp.php?id=20
CCTV4K,http://biaozhun114.com/tv/ysp.php?id=21
CCTV8K,http://biaozhun114.com/tv/ysp.php?id=22

CCTV1,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576803.m3u8
CCTV2,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576703.m3u8
CCTV3,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576503.m3u8
CCTV4,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576603.m3u8
CCTV5,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576403.m3u8
CCTV5+,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576303.m3u8
CCTV6,http://183.204.13.13/1.v.smtcdns.net/mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8
CCTV6,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022574303.m3u8
CCTV7,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576203.m3u8
CCTV8,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576103.m3u8
CCTV9,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576003.m3u8
CCTV10,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022573001.m3u8
CCTV11,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575903.m3u8
CCTV12,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575803.m3u8
CCTV13,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575703.m3u8
CCTV14,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575603.m3u8
CCTV15,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575503.m3u8
CCTV16,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575403.m3u8
CCTV16,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575103.m3u8
CCTV17,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575303.m3u8
CCTV4K,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575203.m3u8
CCTV8K,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2020603421.m3u8

CCTV1,http://111.230.30.193/php/lyd.php?id=6559
