央视频道,#genre#
CCTV1,http://221.229.212.86:14923
CCTV1,http://221.229.212.86:14977
CCTV2,http://221.229.212.86:14993
CCTV3,http://221.229.212.86:14985
CCTV4,http://221.229.212.86:14994
CCTV5,http://221.229.212.86:14924
CCTV5,http://221.229.212.86:14982
CCTV5+,http://221.229.212.86:14925
CCTV5+,http://221.229.212.86:14981
CCTV6,http://221.229.212.86:14995
CCTV7,http://221.229.212.86:14997
CCTV8,http://221.229.212.86:14996
CCTV9,http://221.229.212.86:14904
CCTV10,http://221.229.212.86:14998
CCTV11,http://221.229.212.86:14986
CCTV12,http://221.229.212.86:14987
CCTV13,http://221.229.212.86:14979
CCTV14,http://221.229.212.86:14989
CCTV15,http://221.229.212.86:14905
CCTV16,http://221.229.212.86:14926
CCTV16,http://221.229.212.86:14910
CCTV17,http://221.229.212.86:14965
CGTN,http://221.229.212.86:14966

CCTV1,http://122.96.70.231:9003/hls/1/index.m3u8
CCTV2,http://122.96.70.231:9003/hls/2/index.m3u8
CCTV3,http://122.96.70.231:9003/hls/3/index.m3u8
CCTV4,http://122.96.70.231:9003/hls/4/index.m3u8
CCTV5,http://122.96.70.231:9003/hls/5/index.m3u8
CCTV6,http://122.96.70.231:9003/hls/6/index.m3u8
CCTV7,http://122.96.70.231:9003/hls/7/index.m3u8
CCTV8,http://122.96.70.231:9003/hls/8/index.m3u8
CCTV9,http://122.96.70.231:9003/hls/9/index.m3u8
CCTV10,http://122.96.70.231:9003/hls/10/index.m3u8
CCTV11,http://122.96.70.231:9003/hls/11/index.m3u8
CCTV12,http://122.96.70.231:9003/hls/12/index.m3u8
CCTV13,http://122.96.70.231:9003/hls/13/index.m3u8
CCTV14,http://122.96.70.231:9003/hls/14/index.m3u8

卫视频道,#genre#
安徽卫视,http://221.229.212.86:14902
北京卫视,http://221.229.212.86:14901
重庆卫视,http://221.229.212.86:14970
东方卫视,http://221.229.212.86:14999
东南卫视,http://221.229.212.86:14974
河北卫视,http://221.229.212.86:14973
河南卫视,http://221.229.212.86:14992
湖南卫视,http://221.229.212.86:14983
江苏卫视,http://221.229.212.86:14980
江西卫视,http://221.229.212.86:14990
辽宁卫视,http://221.229.212.86:14991
安徽卫视,http://221.229.212.86:14902
北京卫视,http://221.229.212.86:14901
重庆卫视,http://221.229.212.86:14970
东方卫视,http://221.229.212.86:14999
东南卫视,http://221.229.212.86:14974
河北卫视,http://221.229.212.86:14973
河南卫视,http://221.229.212.86:14992
湖南卫视,http://221.229.212.86:14983
江苏卫视,http://221.229.212.86:14980
江西卫视,http://221.229.212.86:14990
辽宁卫视,http://221.229.212.86:14991
宁夏卫视,http://221.229.212.86:14971
山东卫视,http://221.229.212.86:14988
山西卫视,http://221.229.212.86:14972
深圳卫视,http://221.229.212.86:14903
天津卫视,http://221.229.212.86:14906
广东体育,http://221.229.212.86:14975
广东珠江,http://221.229.212.86:14909
凤凰中文,http://221.229.212.86:14896
凤凰香港,http://221.229.212.86:14897

东南卫视,http://122.96.70.231:9003/hls/36/index.m3u8 
内蒙古卫视,http://122.96.70.231:9003/hls/51/index.m3u8
吉林卫视,http://122.96.70.231:9003/hls/40/index.m3u8
四川卫视,http://122.96.70.231:9003/hls/34/index.m3u8
天津卫视,http://122.96.70.231:9003/hls/37/index.m3u8
宁夏卫视,http://122.96.70.231:9003/hls/48/index.m3u8
安徽卫视,http://122.96.70.231:9003/hls/27/index.m3u8
山东卫视,http://122.96.70.231:9003/hls/28/index.m3u8
广东卫视,http://122.96.70.231:9003/hls/30/index.m3u8
广西卫视,http://122.96.70.231:9003/hls/31/index.m3u8
新疆卫视,http://122.96.70.231:9003/hls/50/index.m3u8
江苏卫视,http://122.96.70.231:9003/hls/16/index.m3u8
江西卫视,http://122.96.70.231:9003/hls/38/index.m3u8 
河南卫视,http://122.96.70.231:9003/hls/35/index.m3u8
浙江卫视,http://122.96.70.231:9003/hls/25/index.m3u8
海南卫视,http://122.96.70.231:9003/hls/32/index.m3u8 
湖北卫视,http://122.96.70.231:9003/hls/39/index.m3u8
湖南卫视,http://122.96.70.231:9003/hls/29/index.m3u8
甘肃卫视,http://122.96.70.231:9003/hls/49/index.m3u8 
辽宁卫视,http://122.96.70.231:9003/hls/26/index.m3u8
重庆卫视,http://122.96.70.231:9003/hls/33/index.m3u8
