[2025-11-06 12:17:24] 测速异常: http://[2409:8087:1:20:20::2a]/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226494/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EB8MrpAzJ_Bw12HHVBcZO6g%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNONWWecbSKZXNjh_5hExtTC%2CEND | ConnectionError - HTTPConnectionPool(host='2409:8087:1:20:20::2a', port=80): Max retries exceeded with url: /otttv.bj.chinamobile.com/PLTV/88888888/224/3221226494/1.m3u8?GuardEncType=2&accountinfo=~~V2.0~B8MrpAzJ_Bw12HHVBcZO6g~_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNONWWecbSKZXNjh_5hExtTC%2CEND (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8223229610>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
[2025-11-06 12:17:24] 测速异常: http://[2409:8087:1:20:20::2c]/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226537/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7E7AxXs4eTU2oiWrhopr9sHw%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNNxsM0Bor098BJglrhfEQTl%2CEND | ConnectionError - HTTPConnectionPool(host='2409:8087:1:20:20::2c', port=80): Max retries exceeded with url: /otttv.bj.chinamobile.com/PLTV/88888888/224/3221226537/1.m3u8?GuardEncType=2&accountinfo=~~V2.0~7AxXs4eTU2oiWrhopr9sHw~_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNNxsM0Bor098BJglrhfEQTl%2CEND (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8223092c70>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
[2025-11-06 12:17:24] 测速异常: http://[2409:8087:7004:20:1000::22]:6610/yinhe/2/ch00000090990000001309/index.m3u8?virtualDomain=yinhe.live_hls.zte.com | ConnectionError - HTTPConnectionPool(host='2409:8087:7004:20:1000::22', port=6610): Max retries exceeded with url: /yinhe/2/ch00000090990000001309/index.m3u8?virtualDomain=yinhe.live_hls.zte.com (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8223072f40>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
[2025-11-06 12:17:24] 测速异常: http://[2409:8087:1:20:20::26]/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226557/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EBzZToIaOOoaa_jAUfhUQHQ%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNOD9BEmVSNbqSQpqXZxnxbk%2CEND | ConnectionError - HTTPConnectionPool(host='2409:8087:1:20:20::26', port=80): Max retries exceeded with url: /otttv.bj.chinamobile.com/PLTV/88888888/224/3221226557/1.m3u8?GuardEncType=2&accountinfo=~~V2.0~BzZToIaOOoaa_jAUfhUQHQ~_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNOD9BEmVSNbqSQpqXZxnxbk%2CEND (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8220e64c40>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
[2025-11-06 12:17:28] 测速异常: http://[2409:8087:1:20:20::2c]/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226436/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7ElMQ3ov45VmhzipweN5VstQ%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNPg_yZ8DZHTaSU92MIl_o3b%2CEND | ConnectionError - HTTPConnectionPool(host='2409:8087:1:20:20::2c', port=80): Max retries exceeded with url: /otttv.bj.chinamobile.com/PLTV/88888888/224/3221226436/1.m3u8?GuardEncType=2&accountinfo=~~V2.0~lMQ3ov45VmhzipweN5VstQ~_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNPg_yZ8DZHTaSU92MIl_o3b%2CEND (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8220e7a940>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
[2025-11-06 12:17:28] 测速异常: http://[2409:8087:1:20:20::26]/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226552/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EXOsrWMA-UCdUl1hQSR9EKw%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNNg3bzRax0E9tLmO9xgXVx8%2CEND | ConnectionError - HTTPConnectionPool(host='2409:8087:1:20:20::26', port=80): Max retries exceeded with url: /otttv.bj.chinamobile.com/PLTV/88888888/224/3221226552/1.m3u8?GuardEncType=2&accountinfo=~~V2.0~XOsrWMA-UCdUl1hQSR9EKw~_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNNg3bzRax0E9tLmO9xgXVx8%2CEND (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8220e7af40>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
[2025-11-06 12:17:28] 测速异常: http://[2409:8087:1:20:20::26]/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226553/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EQaJ92NID2SpQlY6_VJVogg%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNOuQYJeiYEeFWTkFfE86Vq-%2CEND | ConnectionError - HTTPConnectionPool(host='2409:8087:1:20:20::26', port=80): Max retries exceeded with url: /otttv.bj.chinamobile.com/PLTV/88888888/224/3221226553/1.m3u8?GuardEncType=2&accountinfo=~~V2.0~QaJ92NID2SpQlY6_VJVogg~_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNOuQYJeiYEeFWTkFfE86Vq-%2CEND (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8220e0c880>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
[2025-11-06 12:17:35] 测速异常: http://[2409:8087:5e00:24::1e]:6060/000000001000/4600001000000000112/1.m3u8 | ConnectionError - HTTPConnectionPool(host='2409:8087:5e00:24::1e', port=6060): Max retries exceeded with url: /000000001000/4600001000000000112/1.m3u8 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8220e7ac40>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
[2025-11-06 12:17:35] 测速异常: http://[2409:8087:5e00:24::2d]:6610/000000001000/1/1000000004000023658/index.m3u8?channel-id=ystenlive&Contentid=1000000004000023658&livemode=1&stbId=YanG-1989 | ConnectionError - HTTPConnectionPool(host='2409:8087:5e00:24::2d', port=6610): Max retries exceeded with url: /000000001000/1/1000000004000023658/index.m3u8?channel-id=ystenlive&Contentid=1000000004000023658&livemode=1&stbId=YanG-1989 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8220e7a700>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
[2025-11-06 12:17:35] 测速异常: http://[2409:8087:5e00:24::2d]:6610/000000001000/1/1000000004000026167/index.m3u8?channel-id=ystenlive&Contentid=1000000004000026167&livemode=1&stbId=YanG-1989 | ConnectionError - HTTPConnectionPool(host='2409:8087:5e00:24::2d', port=6610): Max retries exceeded with url: /000000001000/1/1000000004000026167/index.m3u8?channel-id=ystenlive&Contentid=1000000004000026167&livemode=1&stbId=YanG-1989 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f82230721c0>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
[2025-11-06 12:17:35] 测速异常: http://[2409:8087:5e00:24::2d]:6610/000000001000/1/1000000001000006197/index.m3u8?channel-id=ystenlive&Contentid=1000000001000006197&livemode=1&stbId=YanG-1989 | ConnectionError - HTTPConnectionPool(host='2409:8087:5e00:24::2d', port=6610): Max retries exceeded with url: /000000001000/1/1000000001000006197/index.m3u8?channel-id=ystenlive&Contentid=1000000001000006197&livemode=1&stbId=YanG-1989 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8220e0c970>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
