重庆频道,#genre#
,http://111.196.129.187:20000/rtp/239.3.1.249:8001?
万州三峡移民,http://123.146.162.24:8013/tslslive/PU2vzMI/hls/live_sd.m3u8?zzhongqd
,http://111.199.98.194:4022/rtp/239.3.1.249:8001?
万州三峡移民,http://123.146.162.24:8017/c2F0hmi/1000/live.m3u8
万州三峡移民,http://123.146.162.24:8017/c2F0hmi/1000/live.m3u8?zzhongqd
,http://59.32.97.183:9901/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
万州综合,http://123.146.162.24:8013/tslslive/noEX9SG/hls/live_sd.m3u8
,http://114.254.154.163:4022/rtp/239.3.1.249:8001?
,http://111.196.135.238:8686/rtp/239.3.1.249:8001?
万州三峡移民,http://123.146.162.24:8013/tslslive/PU2vzMI/hls/live_sd.m3u8
万州综合,http://123.146.162.24:8017/iTXwrGs/800/live.m3u8?zzhongqd
重庆汽摩,http://223.145.224.117:8000/udp/239.76.254.25:9000
重庆汽摩,http://223.145.224.136:8000/udp/239.76.254.25:9000
,http://114.241.200.178:8888/rtp/239.3.1.249:8001?
,http://223.145.224.136:8000/udp/239.76.246.230:1234
,http://221111.best:8012/rtp/239.3.1.249:8001?
重庆汽摩,http://183.64.181.25:40023/rongchang01.m3u8?%E5%85%B3%E6%B3%A8%E5%BE%AE%E4%BF%A1%E5%85%AC%E4%BC%97%E5%8F%B7[%E6%99%B4%E5%9B%AD]
潼南综合,http://183.230.184.51:65500/tntv1.m3u8
璧山综合,http://222.179.42.129:8181/hls1.m3u8
,http://223.145.224.117:8000/udp/239.76.246.230:1234
,http://111.193.237.215:9999/rtp/239.3.1.249:8001?
重庆汽摩,http://183.230.184.51:65500/tntv1.m3u8?zzhongqd
垫江综合,http://123.146.162.24:8013/tslslive/noEX9SG/hls/live_sd.m3u8?zzhongqd
荣昌综合,http://183.64.181.25:40023/rongchang01.m3u8
铜梁综合,http://183.64.174.171:40123/ch1.m3u8
万州综合,http://123.146.162.24:8017/iTXwrGs/800/live.m3u8
垫江综合,http://play-sh.quklive.com/live/1672366847646284.m3u8
,http://114.254.83.25:4022/rtp/239.3.1.249:8001?
