更新时间: 2025-11-28 18:46:29（北京时间）

更新时间,#genre#
2025-11-28 18:46:29,https://txmov2.a.kwimgs.com/bs3/video-hls/5230086603510673905_hlsb.m3u8?pkey=AAUyMbVkU7WkimubgX0RPM_gxiBDBZ0O6NjXg8fqHAfjVU3xFbWk1Mq_dhogP1fSZfTuxFuTTP4Q9geCGPwtGGOxQWCeEZMzc8A0cmLTyXrZZWUeTZQtSukPK5Y5UyZPBuM

央视频道,#genre#
CCTV1,http://123.113.182.104:8001/rtp/239.3.1.129:8008$北京市联通
CCTV1,http://116.235.252.22:8888/rtp/239.45.3.145:5140$上海市电信
CCTV1,http://58.38.126.237:4022/rtp/239.45.3.145:5140$上海市电信
CCTV2,http://123.113.182.104:8001/rtp/239.3.1.60:8084$北京市联通
CCTV2,http://116.235.252.22:8888/rtp/239.45.3.208:5140$上海市电信
CCTV2,http://58.38.126.237:4022/rtp/239.45.3.208:5140$上海市电信
CCTV3,http://123.113.182.104:8001/rtp/239.3.1.172:8001$北京市联通
CCTV3,http://116.235.252.22:8888/rtp/239.45.1.68:5140$上海市电信
CCTV3,http://58.38.126.237:4022/rtp/239.45.1.68:5140$上海市电信
CCTV4,http://123.113.182.104:8001/rtp/239.3.1.105:8092$北京市联通
CCTV4,http://116.235.252.22:8888/rtp/239.45.0.2:5140$上海市电信
CCTV4,http://58.38.126.237:4022/rtp/239.45.0.2:5140$上海市电信
CCTV4欧洲,http://123.113.182.104:8001/rtp/239.3.1.213:4220$北京市联通
CCTV4美洲,http://123.113.182.104:8001/rtp/239.3.1.214:4220$北京市联通
CCTV5,http://123.113.182.104:8001/rtp/239.3.1.173:8001$北京市联通
CCTV5,http://116.235.252.22:8888/rtp/239.45.1.69:5140$上海市电信
CCTV5,http://58.38.126.237:4022/rtp/239.45.1.69:5140$上海市电信
CCTV5+,http://123.113.182.104:8001/rtp/239.3.1.130:8004$北京市联通
CCTV6,http://123.113.182.104:8001/rtp/239.3.1.174:8001$北京市联通
CCTV6,http://116.235.252.22:8888/rtp/239.45.1.70:5140$上海市电信
CCTV6,http://58.38.126.237:4022/rtp/239.45.1.70:5140$上海市电信
CCTV7,http://123.113.182.104:8001/rtp/239.3.1.61:8104$北京市联通
