CCTV1,rtp://239.45.3.145:5140
CCTV2,rtp://239.45.3.208:5140
CCTV3,rtp://239.45.1.68:5140
CCTV4,rtp://239.45.0.2:5140
CCTV5,rtp://239.45.1.69:5140
CCTV6,rtp://239.45.1.70:5140
CCTV7,rtp://239.45.3.56:5140
CCTV8,rtp://239.45.1.71:5140
CCTV9,rtp://239.45.3.4:5140
CCTV10,rtp://239.45.3.8:5140
CCTV11,rtp://239.45.1.196:5140
CCTV12,rtp://239.45.3.10:5140
CCTV13,rtp://239.45.1.198:5140
CCTV14,rtp://239.45.3.23:5140
CCTV15,rtp://239.45.1.200:5140
CCTV17,rtp://239.45.3.52:5140
CETV1,rtp://239.45.1.125:5140
CETV1,rtp://233.18.204.98:5140
CETV4,rtp://239.45.1.243:5140
CETV4,rtp://233.18.204.111:5140
CETV早期教育,rtp://239.45.0.54:5140
CETV早期教育,rtp://233.18.204.187:5140
CHC影迷电影,rtp://239.45.0.42:5140
CHC影迷电影,rtp://233.18.204.175:5140
CHC家庭影院,rtp://239.45.0.40:5140
CHC家庭影院,rtp://233.18.204.173:5140
CHC动作电影,rtp://239.45.0.41:5140
CHC动作电影,rtp://233.18.204.174:5140
第一剧场,rtp://239.45.0.51:5140
第一剧场,rtp://233.18.204.184:5140
风云剧场,rtp://239.45.0.50:5140
风云剧场,rtp://233.18.204.183:5140
风云足球,rtp://239.45.0.43:5140
风云足球,rtp://233.18.204.176:5140
风云音乐,rtp://239.45.0.52:5140
风云音乐,rtp://233.18.204.185:5140
世界地理,rtp://239.45.0.46:5140
世界地理,rtp://233.18.204.179:5140
电视指南,rtp://239.45.1.73:5140
怀旧剧场,rtp://239.45.0.49:5140
怀旧剧场,rtp://233.18.204.182:5140
兵器科技,rtp://239.45.1.74:5140
兵器科技,rtp://239.45.0.45:5140
兵器科技,rtp://233.18.204.178:5140
女性时尚,rtp://239.45.0.47:5140
女性时尚,rtp://233.18.204.180:5140
高尔夫网球,rtp://239.45.1.72:5140
高尔夫网球,rtp://239.45.0.48:5140
高尔夫网球,rtp://233.18.204.181:5140
央视台球,rtp://239.45.0.44:5140
央视台球,rtp://233.18.204.177:5140
央视文化精品,rtp://239.45.1.17:5140
央视文化精品,rtp://239.45.0.53:5140
央视文化精品,rtp://233.18.204.186:5140
法治天地,rtp://239.45.1.46:5140
法治天地,rtp://233.18.204.49:5140
游戏风云,rtp://239.45.3.131:5140
游戏风云,rtp://233.18.204.44:5140
茶频道,rtp://239.45.3.18:5140
茶频道,rtp://233.18.204.43:5140
金色学堂,rtp://239.45.0.9:5140
金色学堂,rtp://233.18.204.66:5140
金鹰纪实,rtp://239.45.1.45:5140
金鹰纪实,rtp://233.18.204.104:5140
快乐垂钓,rtp://239.45.3.12:5140
快乐垂钓,rtp://233.18.204.42:5140
生活时尚,rtp://239.45.3.132:5140
生活时尚,rtp://233.18.204.45:5140
中国天气,rtp://239.45.3.141:5140
乐游,rtp://239.45.3.135:5140
乐游,rtp://233.18.204.47:5140
动漫秀场,rtp://239.45.3.134:5140
动漫秀场,rtp://233.18.204.46:5140
重庆卫视,rtp://239.45.1.84:5140
重庆卫视,rtp://233.18.204.100:5140
江苏卫视,rtp://239.45.3.177:5140
江苏卫视,rtp://233.18.204.85:5140
浙江卫视,rtp://239.45.3.178:5140
浙江卫视,rtp://233.18.204.84:5140
东方卫视,rtp://239.45.3.146:5140
东方卫视,rtp://233.18.204.51:5140
深圳卫视,rtp://239.45.3.231:5140
深圳卫视,rtp://233.18.204.89:5140
北京卫视,rtp://239.45.3.229:5140
北京卫视,rtp://233.18.204.87:5140
山东卫视,rtp://239.45.3.238:5140
山东卫视,rtp://233.18.204.91:5140
天津卫视,rtp://239.45.1.124:5140
天津卫视,rtp://233.18.204.97:5140
贵州卫视,rtp://239.45.1.80:5140
贵州卫视,rtp://233.18.204.101:5140
四川卫视,rtp://239.45.1.23:5140
四川卫视,rtp://239.45.1.83:5140
四川卫视,rtp://233.18.204.99:5140
云南卫视,rtp://239.45.3.206:5140
云南卫视,rtp://239.45.0.4:5140
云南卫视,rtp://233.18.204.106:5140
