CCTV1,rtp://239.3.1.129:8008
CCTV2,rtp://239.3.1.60:8084
CCTV3,rtp://239.3.1.172:8001
CCTV4,rtp://239.3.1.105:8092
CCTV4欧洲,rtp://239.3.1.213:4220
CCTV4美洲,rtp://239.3.1.214:4220
CCTV5,rtp://239.3.1.173:8001
CCTV5+,rtp://239.3.1.130:8004
CCTV6,rtp://239.3.1.174:8001
CCTV7,rtp://239.3.1.61:8104
CCTV8,rtp://239.3.1.175:8001
CCTV9,rtp://239.3.1.62:8112
CCTV10,rtp://239.3.1.63:8116
CCTV11,rtp://239.3.1.152:8120
CCTV12,rtp://239.3.1.64:8124
CCTV13,rtp://239.3.1.124:8128
CCTV14,rtp://239.3.1.65:8132
CCTV15,rtp://239.3.1.153:8136
CCTV17,rtp://239.3.1.151:8144
CETV1,rtp://239.3.1.57:8152
CGTN,rtp://239.3.1.215:4220
CGTN纪录,rtp://239.3.1.216:4220
CGTN阿语,rtp://239.3.1.219:4220
CGTN俄语,rtp://239.3.1.220:4220
CGTN西语,rtp://239.3.1.217:4220
CGTN法语,rtp://239.3.1.218:4220
茶频道,rtp://239.3.1.165:8001
金鹰纪实,rtp://239.3.1.58:8156
快乐垂钓,rtp://239.3.1.164:8001
中国交通,rtp://239.3.1.188:8001
CCTV16 4K,rtp://239.3.1.184:8001
重庆卫视,rtp://239.3.1.122:8160
江苏卫视,rtp://239.3.1.135:8028
浙江卫视,rtp://239.3.1.137:8036
东方卫视,rtp://239.3.1.136:8032
深圳卫视,rtp://239.3.1.134:8020
北京卫视,rtp://239.3.1.241:8000
山东卫视,rtp://239.3.1.209:8052
天津卫视,rtp://239.3.1.141:1234
贵州卫视,rtp://239.3.1.149:8076
黑龙江卫视,rtp://239.3.1.133:8016
安徽卫视,rtp://239.3.1.211:8064
江西卫视,rtp://239.3.1.123:8164
湖北卫视,rtp://239.3.1.138:8044
东南卫视,rtp://239.3.1.156:8148
吉林卫视,rtp://239.3.1.240:8172
辽宁卫视,rtp://239.3.1.210:8056
湖南卫视,rtp://239.3.1.132:8012
广东卫视,rtp://239.3.1.142:8048
河南卫视,rtp://239.3.1.50:8184
河北卫视,rtp://239.3.1.148:8072
西藏卫视,rtp://239.3.1.166:8188
卡酷少儿,rtp://239.3.1.189:8000
北京新闻,rtp://239.3.1.159:8000
北京生活,rtp://239.3.1.117:8000
北京影视,rtp://239.3.1.158:8000
北京文艺,rtp://239.3.1.242:8000
北京体育休闲,rtp://239.3.1.243:8000
北京纪实科教,rtp://239.3.1.115:8000
北京财经,rtp://239.3.1.116:8000
北京国际,rtp://239.3.1.235:8000
北京朝阳,rtp://239.3.1.163:8001
北京密云,rtp://239.3.1.154:8001
北京房山,rtp://239.3.1.96:8001
北京通州,rtp://239.3.1.221:8001
北京门头沟,rtp://239.3.1.59:8001
淘电影,rtp://239.3.1.250:8001
淘剧场,rtp://239.3.1.95:8001
淘娱乐,rtp://239.3.1.100:8001
淘baby,rtp://239.3.1.238:8001
萌宠TV,rtp://239.3.1.102:8001
睛彩竞技,rtp://239.3.1.125:8001
睛彩广场舞,rtp://239.3.1.128:8001
睛彩篮球,rtp://239.3.1.126:8001
睛彩青少,rtp://239.3.1.127:8001
聚鲨环球精选,rtp://239.3.1.160:8001
聚鲨环球精选,rtp://239.3.1.179:8001
IPTV少儿动画,rtp://239.3.1.199:9000
IPTV热播剧场,rtp://239.3.1.194:9020
IPTV经典电影,rtp://239.3.1.195:9024
IPTV魅力时尚,rtp://239.3.1.196:9012
央视网CCTV3,rtp://239.3.1.193:8012
央视网CCTV5,rtp://239.3.1.89:4120
央视网CCTV8,rtp://239.3.1.85:4120
央视网CCTV10,rtp://239.3.1.86:4120
IPTV光影,rtp://239.3.1.84:4120
IPTV军事,rtp://239.3.1.76:4120
IPTV军旅剧场,rtp://239.3.1.69:4120
IPTV军旅剧场,rtp://239.3.1.68:4120
IPTV动作影院,rtp://239.3.1.92:4120
IPTV动画,rtp://239.3.1.80:4120
IPTV喜剧剧场,rtp://239.3.1.91:4120
IPTV国学,rtp://239.3.1.77:4120
IPTV地理,rtp://239.3.1.71:4120
IPTV墨宝,rtp://239.3.1.83:4120
IPTV好学生,rtp://239.3.1.81:4120
IPTV家庭影院,rtp://239.3.1.93:4120
IPTV影视,rtp://239.3.1.88:4120
IPTV戏曲,rtp://239.3.1.78:4120
IPTV早教,rtp://239.3.1.79:4120
IPTV星影,rtp://239.3.1.94:4120
IPTV武侠剧场,rtp://239.3.1.90:4120
IPTV武术,rtp://239.3.1.87:4120
IPTV精选,rtp://239.3.1.74:4120
IPTV美人,rtp://239.3.1.73:4120
IPTV美妆,rtp://239.3.1.72:4120
IPTV解密,rtp://239.3.1.75:4120
IPTV都市剧场,rtp://239.3.1.67:4120
IPTV鉴赏,rtp://239.3.1.82:4120
IPTV音乐现场,rtp://239.3.1.70:4120
CETV2,rtp://239.3.1.54:4120
CETV4,rtp://239.3.1.56:4120
山东教育卫视,rtp://239.3.1.52:4120
金鹰卡通,rtp://239.3.1.51:9252
嘉佳卡通,rtp://239.3.1.147:9268
北京卫视4K,rtp://239.3.1.140:8001
北京卫视4K,rtp://239.3.1.139:8001
东方卫视4K,rtp://239.3.1.119:3006
广东卫视4K,rtp://239.3.1.203:2000
深圳卫视4K,rtp://239.3.1.202:2000
湖南卫视4K,rtp://239.3.1.112:3002
山东卫视4K,rtp://239.3.1.144:3005
四川卫视4K,rtp://239.3.1.131:3001
浙江卫视4K,rtp://239.3.1.114:3004
江苏卫视4K,rtp://239.3.1.113:3003
爱上4K,rtp://239.3.1.236:2000
