风云剧场,rtp://239.1.1.93:8093
第一剧场,rtp://239.1.1.94:8094
怀旧剧场,rtp://239.1.1.95:8095
女性时尚,rtp://239.1.1.89:8089
电视指南,rtp://239.1.1.90:8090
央视文化精品,rtp://239.1.1.91:8091
风云音乐,rtp://239.1.1.96:8096
兵器科技,rtp://239.1.1.97:8097
世界地理,rtp://239.1.1.99:8099
央视台球,rtp://239.1.1.100:8100
风云足球,rtp://239.1.1.101:8101
高尔夫网球,rtp://239.1.1.102:8102
凤凰卫视,rtp://239.1.1.126:8126
凤凰资讯,rtp://239.1.1.127:8127
三沙卫视,rtp://239.1.1.70:8070
厦门卫视,rtp://239.1.1.71:8071
农林卫视,rtp://239.1.1.73:8073
山东教育,rtp://239.1.1.74:8074
动漫秀场,rtp://239.1.1.80:8080
都市剧场,rtp://239.1.1.81:8081
生活时尚,rtp://239.1.1.76:8076
法治天地,rtp://239.1.1.79:8079
金色学堂,rtp://239.1.1.82:8082
游戏风云,rtp://239.1.1.83:8083
乐游,rtp://239.1.1.84:8084
东方财经,rtp://239.1.1.85:8085
金鹰纪实,rtp://239.1.1.63:8063
快乐垂钓,rtp://239.1.1.86:8086
茶频道,rtp://239.1.1.77:8077
