CCTV1,rtp://239.16.20.1:10010
CCTV-2财经,rtp://239.16.20.2:10020
CCTV-3综艺,rtp://239.16.20.3:10030
CCTV-4中文国际,rtp://239.16.20.4:10040
CCTV-5体育,rtp://239.16.20.53:10530
CCTV5+,rtp://239.16.20.5:10050
CCTV-6电影,rtp://239.16.20.6:10060
CCTV-7国防军事,rtp://239.16.20.51:10510
CCTV-8电视剧,rtp://239.16.20.8:10080
CCTV-9纪录,rtp://239.16.20.9:10090
CCTV-10科教,rtp://239.16.20.10:10100
CCTV-11戏曲,rtp://239.16.20.11:10110
CCTV12,rtp://239.16.20.12:10120
CCTV-13新闻,rtp://239.16.20.13:10130
CCTV-14少儿,rtp://239.16.20.14:10140
CCTV-15音乐,rtp://239.16.20.15:10150
CCTV-17农业农村,rtp://239.16.20.7:10070
浙江卫视,rtp://239.16.20.71:10710
湖南卫视,rtp://239.16.20.72:10720
东方卫视,rtp://239.16.20.73:10730
江苏卫视,rtp://239.16.20.74:10740
安徽卫视,rtp://239.16.20.75:10750
北京卫视,rtp://239.16.20.76:10760
深圳卫视,rtp://239.16.20.77:10770
重庆卫视,rtp://239.16.20.79:10790
山东卫视,rtp://239.16.20.80:10800
贵州卫视,rtp://239.16.20.81:10810
东南卫视,rtp://239.16.20.82:10820
陕西卫视,rtp://239.16.20.83:10830
广西卫视,rtp://239.16.20.84:10840
云南卫视,rtp://239.16.20.85:10850
四川卫视,rtp://239.16.20.86:10860
湖北卫视,rtp://239.16.20.87:10870
河北卫视,rtp://239.16.20.88:10880
江西卫视,rtp://239.16.20.89:10890
吉林卫视,rtp://239.16.20.94:10940
辽宁卫视,rtp://239.16.20.95:10950
天津卫视,rtp://239.16.20.96:10960
海南卫视,rtp://239.16.20.97:10970
广东卫视,rtp://239.16.20.98:10980
黑龙江卫视,rtp://239.16.20.99:10990
青海卫视,rtp://239.16.20.101:11010
甘肃卫视,rtp://239.16.20.102:11020
CETV1,rtp://239.16.20.78:10780
都市剧场,rtp://239.16.20.38:10380
欢笑剧场,rtp://239.16.20.39:10390
动漫秀场,rtp://239.16.20.40:10400
