CCTV1,rtp://233.50.201.118:5140
CCTV2,rtp://233.50.201.119:5140
CCTV3,rtp://233.50.201.196:5140
CCTV4,rtp://233.50.200.101:5140
CCTV5,rtp://233.50.200.108:5140
CCTV5,rtp://233.50.201.194:5140
CCTV5+,rtp://233.50.201.220:5140
CCTV6,rtp://233.50.200.109:5140
CCTV7,rtp://233.50.200.102:5140
CCTV8,rtp://233.50.201.116:5140
CCTV9,rtp://233.50.200.23:5140
CCTV10,rtp://233.50.200.22:5140
CCTV11,rtp://233.50.200.132:5140
CCTV12,rtp://233.50.200.21:5140
CCTV13,rtp://233.50.200.97:5140
CCTV14,rtp://233.50.200.103:5140
CCTV15,rtp://233.50.200.133:5140
CCTV17,rtp://233.50.200.113:5140
CETV1,rtp://233.50.200.169:5140
CETV4,rtp://233.50.200.162:5140
CETV4,rtp://233.50.200.174:5140
法治天地,rtp://233.50.201.191:5140
法治天地,rtp://233.50.200.120:5140
游戏风云,rtp://233.50.201.183:5140
游戏风云,rtp://233.50.200.14:5140
茶频道,rtp://233.50.201.188:5140
茶频道,rtp://233.50.200.124:5140
金色学堂,rtp://233.50.201.186:5140
金色学堂,rtp://233.50.200.122:5140
环球旅游,rtp://233.50.202.31:5140
生态环境,rtp://233.50.202.103:5140
生态环境,rtp://233.50.202.37:5140
快乐垂钓,rtp://233.50.201.109:5140
快乐垂钓,rtp://233.50.200.123:5140
生活时尚,rtp://233.50.201.187:5140
生活时尚,rtp://233.50.200.15:5140
乐游,rtp://233.50.201.185:5140
动漫秀场,rtp://233.50.201.184:5140
动漫秀场,rtp://233.50.200.12:5140
重庆卫视,rtp://233.50.201.143:5140
重庆卫视,rtp://233.50.200.114:5140
江苏卫视,rtp://233.50.201.106:5140
江苏卫视,rtp://233.50.200.144:5140
浙江卫视,rtp://233.50.200.231:5140
浙江卫视,rtp://233.50.201.100:5140
浙江卫视,rtp://233.50.200.145:5140
东方卫视,rtp://233.50.201.125:5140
东方卫视,rtp://233.50.200.146:5140
深圳卫视,rtp://233.50.201.101:5140
深圳卫视,rtp://233.50.200.188:5140
北京卫视,rtp://233.50.201.107:5140
北京卫视,rtp://233.50.200.179:5140
山东卫视,rtp://233.50.201.105:5140
山东卫视,rtp://233.50.200.127:5140
天津卫视,rtp://233.50.201.104:5140
天津卫视,rtp://233.50.200.104:5140
贵州卫视,rtp://233.50.201.142:5140
贵州卫视,rtp://233.50.200.139:5140
四川卫视,rtp://233.50.201.139:5140
四川卫视,rtp://233.50.200.118:5140
云南卫视,rtp://233.50.200.115:5140
广西卫视,rtp://233.50.200.136:5140
黑龙江卫视,rtp://233.50.201.115:5140
黑龙江卫视,rtp://233.50.200.189:5140
安徽卫视,rtp://233.50.201.113:5140
安徽卫视,rtp://233.50.200.106:5140
江西卫视,rtp://233.50.201.145:5140
江西卫视,rtp://233.50.200.119:5140
湖北卫视,rtp://233.50.201.114:5140
湖北卫视,rtp://233.50.200.147:5140
东南卫视,rtp://233.50.201.146:5140
东南卫视,rtp://233.50.200.135:5140
吉林卫视,rtp://233.50.200.164:5140
吉林卫视,rtp://233.50.202.42:5140
辽宁卫视,rtp://233.50.201.141:5140
辽宁卫视,rtp://233.50.200.129:5140
辽宁卫视,rtp://233.50.200.173:5140
湖南卫视,rtp://233.50.201.103:5140
湖南卫视,rtp://233.50.200.190:5140
广东卫视,rtp://233.50.200.187:5140
广东卫视,rtp://233.50.200.126:5140
广东卫视,rtp://233.50.200.149:5140
广东卫视,rtp://233.50.201.102:5140
河南卫视,rtp://233.50.201.144:5140
河南卫视,rtp://233.50.200.142:5140
河北卫视,rtp://233.50.201.140:5140
河北卫视,rtp://233.50.200.105:5140
宁夏卫视,rtp://233.50.202.45:5140
甘肃卫视,rtp://233.50.200.163:5140
新疆卫视,rtp://233.50.202.46:5140
西藏卫视,rtp://233.50.202.43:5140
兵团卫视,rtp://233.50.202.44:5140
三沙卫视,rtp://233.50.200.175:5140
哈哈炫动,rtp://233.50.200.167:5140
卡酷少儿,rtp://233.50.200.166:5140
卡酷少儿,rtp://233.50.202.33:5140
凤凰中文,rtp://233.50.202.35:5140
凤凰资讯,rtp://233.50.202.36:5140
北京纪实科教,rtp://233.50.202.34:5140
东方财经,rtp://233.50.200.177:5140
第一财经,rtp://233.50.200.125:5140
都市剧场,rtp://233.50.201.190:5140
都市剧场,rtp://233.50.200.11:5140
欢笑剧场,rtp://233.50.201.189:5140
欢笑剧场,rtp://233.50.200.229:5140
浙江新闻,rtp://233.50.201.137:5140
浙江民生,rtp://233.50.201.136:5140
浙江科教影视,rtp://233.50.201.134:5140
浙江经济生活,rtp://233.50.201.133:5140
浙江钱江,rtp://233.50.201.132:5140
