

CHC-影迷电影,rtp/239.69.1.241:11088
CHC-动作电影,rtp/239.69.1.242:11094
CHC-家庭影院,rtp/239.69.1.243:11100
湖北卫视,rtp/239.254.96.115:8664
河南梨园频道,rtp/239.69.1.33:9838
河南武术世界,rtp/239.69.1.47:9922


湖北公共新闻,rtp/239.69.1.40:9880
湖北经视频道,rtp/239.69.1.41:9886
湖北综合频道,rtp/239.69.1.42:9892
湖北垄上频道,rtp/239.69.1.43:9898
湖北影视频道,rtp/239.69.1.204:10866
湖北生活频道,rtp/239.69.1.205:10872
湖北教育频道,rtp/239.69.1.206:10878
武汉新闻综合,rtp/239.69.1.145:10506
武汉电视剧,rtp/239.69.1.146:10512
武汉科技生活,rtp/239.69.1.251:11148
武汉文体频道,rtp/239.69.1.147:10518
武汉教育频道,rtp/239.69.1.60:9994
阳新综合,rtp/239.69.1.34:9844
房县综合,rtp/239.69.1.192:10794
蔡甸综合,rtp/239.69.1.245:11112
