CCTV1,rtp://239.76.253.151:9000
CCTV2,rtp://239.76.253.152:9000
CCTV2,rtp://239.76.246.152:1234
CCTV3,rtp://239.76.253.153:9000
CCTV3,rtp://239.76.246.153:1234
CCTV4,rtp://239.76.245.195:1234
CCTV4,rtp://239.76.246.154:1234
CCTV4,rtp://239.76.253.154:9000
CCTV4欧洲,rtp://239.76.246.95:1234
CCTV4欧洲,rtp://239.76.253.95:9000
CCTV4美洲,rtp://239.76.253.96:9000
CCTV4美洲,rtp://239.76.246.96:1234
CCTV5,rtp://239.76.253.155:9000
CCTV5,rtp://239.76.246.155:1234
CCTV5,rtp://239.76.254.214:9000
CCTV5+,rtp://239.76.246.168:1234
CCTV5+,rtp://239.76.254.215:9000
CCTV6,rtp://239.76.253.156:9000
CCTV6,rtp://239.76.246.156:1234
CCTV7,rtp://239.76.253.157:9000
CCTV7,rtp://239.76.246.157:1234
CCTV8,rtp://239.76.253.158:9000
CCTV8,rtp://239.76.246.158:1234
CCTV9,rtp://239.76.246.159:1234
CCTV9,rtp://239.76.253.159:9000
CCTV10,rtp://239.76.253.160:9000
CCTV10,rtp://239.76.246.160:1234
CCTV11,rtp://239.76.245.251:1234
CCTV11,rtp://239.76.252.251:9000
CCTV12,rtp://239.76.246.162:1234
CCTV12,rtp://239.76.253.162:9000
CCTV13,rtp://239.76.253.93:9000
CCTV13,rtp://239.76.246.93:1234
CCTV14,rtp://239.76.246.164:1234
CCTV14,rtp://239.76.253.164:9000
CCTV15,rtp://239.76.252.252:9000
CCTV15,rtp://239.76.245.252:1234
CCTV17,rtp://239.76.252.238:9000
CCTV17,rtp://239.76.245.238:1234
CETV1,rtp://239.76.245.192:1234
CETV1,rtp://239.76.252.192:9000
CETV4,rtp://239.76.252.254:9000
CETV4,rtp://239.76.245.254:1234
CETV早期教育,rtp://239.76.254.202:9000
CGTN,rtp://239.76.245.66:1234
CGTN,rtp://239.76.252.66:9000
CGTN纪录,rtp://239.76.245.67:1234
CGTN纪录,rtp://239.76.252.67:9000
CGTN阿语,rtp://239.76.253.97:9000
CGTN阿语,rtp://239.76.246.97:1234
CGTN俄语,rtp://239.76.246.86:1234
CGTN俄语,rtp://239.76.253.86:9000
CGTN西语,rtp://239.76.253.88:9000
CGTN西语,rtp://239.76.246.88:1234
CGTN法语,rtp://239.76.246.87:1234
CGTN法语,rtp://239.76.253.87:9000
CHC影迷电影,rtp://239.76.245.242:1234
CHC影迷电影,rtp://239.76.252.242:9000
CHC家庭影院,rtp://239.76.245.241:1234
CHC家庭影院,rtp://239.76.252.241:9000
CHC动作电影,rtp://239.76.252.243:9000
CHC动作电影,rtp://239.76.245.243:1234
第一剧场,rtp://239.76.254.49:9000
风云剧场,rtp://239.76.254.50:9000
风云足球,rtp://239.76.254.52:9000
风云音乐,rtp://239.76.254.51:9000
世界地理,rtp://239.76.254.57:9000
电视指南,rtp://239.76.254.61:9000
怀旧剧场,rtp://239.76.254.53:9000
兵器科技,rtp://239.76.254.59:9000
女性时尚,rtp://239.76.254.55:9000
高尔夫网球,rtp://239.76.254.62:9000
央视台球,rtp://239.76.254.58:9000
央视文化精品,rtp://239.76.254.56:9000
梨园频道,rtp://239.76.245.179:1234
梨园频道,rtp://239.76.252.179:9000
天元围棋,rtp://239.76.246.2:1234
天元围棋,rtp://239.76.253.2:9000
卫生健康,rtp://239.76.246.247:1234
法治天地,rtp://239.76.254.67:9000
游戏风云,rtp://239.76.254.71:9000
茶频道,rtp://239.76.245.239:1234
茶频道,rtp://239.76.252.239:9000
金色学堂,rtp://239.76.254.75:9000
武术世界,rtp://239.76.245.181:1234
武术世界,rtp://239.76.252.181:9000
金鹰纪实,rtp://239.76.253.110:9000
金鹰纪实,rtp://239.76.246.110:1234
金鹰纪实,rtp://239.76.252.122:9000
金鹰纪实,rtp://239.76.245.122:1234
无信号,rtp://239.76.245.136:1234
文物宝库,rtp://239.76.252.180:9000
文物宝库,rtp://239.76.245.180:1234
快乐垂钓,rtp://239.76.246.5:1234
快乐垂钓,rtp://239.76.245.127:1234
快乐垂钓,rtp://239.76.252.127:9000
快乐垂钓,rtp://239.76.253.5:9000
生活时尚,rtp://239.76.254.73:9000
中国天气,rtp://239.76.253.61:9000
中国天气,rtp://239.76.246.61:1234
乐游,rtp://239.76.254.68:9000
动漫秀场,rtp://239.76.254.70:9000
CCTV16 4K,rtp://239.76.253.98:9000
CCTV16 4K,rtp://239.76.246.98:1234
重庆卫视,rtp://239.76.246.92:1234
重庆卫视,rtp://239.76.253.92:9000
江苏卫视,rtp://239.76.253.181:9000
江苏卫视,rtp://239.76.246.181:1234
浙江卫视,rtp://239.76.246.182:1234
浙江卫视,rtp://239.76.253.182:9000
东方卫视,rtp://239.76.246.186:1234
东方卫视,rtp://239.76.253.186:9000
深圳卫视,rtp://239.76.246.188:1234
深圳卫视,rtp://239.76.253.188:9000
北京卫视,rtp://239.76.246.184:1234
北京卫视,rtp://239.76.253.184:9000
山东卫视,rtp://239.76.253.195:9000
山东卫视,rtp://239.76.246.195:1234
天津卫视,rtp://239.76.253.185:9000
天津卫视,rtp://239.76.246.185:1234
贵州卫视,rtp://239.76.245.198:1234
贵州卫视,rtp://239.76.252.198:9000
四川卫视,rtp://239.76.253.91:9000
四川卫视,rtp://239.76.246.91:1234
云南卫视,rtp://239.76.254.60:9000
广西卫视,rtp://239.76.254.54:9000
黑龙江卫视,rtp://239.76.253.200:9000
黑龙江卫视,rtp://239.76.246.200:1234
安徽卫视,rtp://239.76.245.196:1234
安徽卫视,rtp://239.76.252.196:9000
江西卫视,rtp://239.76.252.225:9000
江西卫视,rtp://239.76.245.225:1234
湖北卫视,rtp://239.76.246.193:1234
湖北卫视,rtp://239.76.253.193:9000
旅游卫视,rtp://239.76.253.203:9000
陕西卫视,rtp://239.76.254.76:9000
东南卫视,rtp://239.76.245.190:1234
东南卫视,rtp://239.76.252.190:9000
吉林卫视,rtp://239.76.253.201:9000
吉林卫视,rtp://239.76.246.201:1234
辽宁卫视,rtp://239.76.245.197:1234
辽宁卫视,rtp://239.76.252.197:9000
湖南卫视,rtp://239.76.245.115:1234
湖南卫视,rtp://239.76.246.101:1234
湖南卫视,rtp://239.76.252.115:9000
湖南卫视,rtp://239.76.253.101:9000
广东卫视,rtp://239.76.252.189:9000
广东卫视,rtp://239.76.245.189:1234
河南卫视,rtp://239.76.253.202:9000
河南卫视,rtp://239.76.246.202:1234
河南卫视,rtp://239.76.246.203:1234
河北卫视,rtp://239.76.245.199:1234
河北卫视,rtp://239.76.252.199:9000
宁夏卫视,rtp://239.76.252.107:9000
宁夏卫视,rtp://239.76.245.107:1234
甘肃卫视,rtp://239.76.253.94:9000
甘肃卫视,rtp://239.76.246.94:1234
青海卫视,rtp://239.76.254.132:9000
新疆卫视,rtp://239.76.252.109:9000
新疆卫视,rtp://239.76.245.109:1234
西藏卫视,rtp://239.76.245.108:1234
西藏卫视,rtp://239.76.252.108:9000
兵团卫视,rtp://239.76.252.232:9000
兵团卫视,rtp://239.76.245.232:1234
三沙卫视,rtp://239.76.246.74:1234
三沙卫视,rtp://239.76.253.74:9000
金鹰卡通,rtp://239.76.245.120:1234
金鹰卡通,rtp://239.76.252.120:9000
金鹰卡通,rtp://239.76.246.107:1234
金鹰卡通,rtp://239.76.253.107:9000
卡酷少儿,rtp://239.76.254.81:9000
凤凰中文,rtp://239.76.253.135:9000
凤凰中文,rtp://239.76.246.134:1234
凤凰资讯,rtp://239.76.246.135:1234
凤凰资讯,rtp://239.76.253.134:9000
北京纪实科教,rtp://239.76.254.65:9000
东方财经,rtp://239.76.254.69:9000
都市剧场,rtp://239.76.254.74:9000
湖南都市,rtp://239.76.252.117:9000
湖南都市,rtp://239.76.246.104:1234
湖南都市,rtp://239.76.245.117:1234
湖南都市,rtp://239.76.253.104:9000
湖南经视,rtp://239.76.252.116:9000
湖南经视,rtp://239.76.246.103:1234
湖南经视,rtp://239.76.245.116:1234
湖南经视,rtp://239.76.253.103:9000
湖南爱晚,rtp://239.76.246.109:1234
湖南爱晚,rtp://239.76.252.123:9000
湖南爱晚,rtp://239.76.245.123:1234
湖南爱晚,rtp://239.76.253.109:9000
湖南电影,rtp://239.76.252.119:9000
湖南电影,rtp://239.76.253.106:9000
湖南电影,rtp://239.76.245.119:1234
湖南电影,rtp://239.76.246.106:1234
湖南电视剧,rtp://239.76.252.118:9000
湖南电视剧,rtp://239.76.246.108:1234
湖南电视剧,rtp://239.76.245.118:1234
湖南娱乐,rtp://239.76.253.105:9000
湖南娱乐,rtp://239.76.252.121:9000
湖南娱乐,rtp://239.76.246.105:1234
湖南娱乐,rtp://239.76.245.121:1234
湖南教育,rtp://239.76.245.233:1234
湖南教育,rtp://239.76.252.233:9000
湖南国际,rtp://239.76.252.240:9000
湖南国际,rtp://239.76.246.102:1234
湖南国际,rtp://239.76.252.124:9000
湖南国际,rtp://239.76.245.124:1234
