央视频道,#genre#
CCTV1,http://183.236.43.98:4013/udp/239.77.1.144:5146
CCTV2,http://183.236.43.98:4013/udp/239.77.1.158:5146
CCTV3,http://183.236.43.98:4013/udp/239.77.0.169:5146
CCTV4,http://183.236.43.98:4013/udp/239.77.1.163:5146
CCTV5,http://183.236.43.98:4013/udp/239.77.0.170:5146
CCTV5+,http://183.236.43.98:4013/udp/239.77.0.87:5146
CCTV5+,http://183.236.43.98:4013/udp/239.77.1.31:5146
CCTV6,http://183.236.43.98:4013/udp/239.77.0.171:5146
CCTV7,http://183.236.43.98:4013/udp/239.77.0.138:5146
CCTV8,http://183.236.43.98:4013/udp/239.77.0.172:5146
CCTV9,http://183.236.43.98:4013/udp/239.77.0.135:5146
CCTV10,http://183.236.43.98:4013/udp/239.77.0.134:5146
CCTV11,http://183.236.43.98:4013/udp/239.77.1.238:5146
CCTV12,http://183.236.43.98:4013/udp/239.77.0.136:5146
CCTV13,http://183.236.43.98:4013/udp/239.253.43.196:5146
CCTV14,http://183.236.43.98:4013/udp/239.77.1.161:5146
CCTV15,http://183.236.43.98:4013/udp/239.77.1.239:5146
CCTV16,http://183.236.43.98:4013/udp/239.77.0.165:5146
CCTV17,http://183.236.43.98:4013/udp/239.77.1.121:5146
CCTV4K,http://183.236.43.98:4013/udp/239.77.0.194:5146
CCTV4K,http://183.236.43.98:4013/udp/239.77.0.174:5146
兵器科技,http://183.236.43.98:4013/udp/239.253.43.9:5146
第一剧场,http://183.236.43.98:4013/udp/239.253.43.15:5146
电视指南,http://183.236.43.98:4013/udp/239.253.43.10:5146
风云剧场,http://183.236.43.98:4013/udp/239.253.43.16:5146
风云音乐,http://183.236.43.98:4013/udp/239.253.43.6:5146
风云足球,http://183.236.43.98:4013/udp/239.253.43.14:5146
高尔夫·网球,http://183.236.43.98:4013/udp/239.253.43.12:5146
怀旧剧场,http://183.236.43.98:4013/udp/239.253.43.5:5146
女性时尚,http://183.236.43.98:4013/udp/239.253.43.8:5146
世界地理,http://183.236.43.98:4013/udp/239.253.43.7:5146
央视台球,http://183.236.43.98:4013/udp/239.253.43.11:5146
文化精品,http://183.236.43.98:4013/udp/239.253.43.13:5146
CETV1,http://183.236.43.98:4013/udp/239.77.1.222:5146
CETV4,http://183.236.43.98:4013/udp/239.253.43.40:5146
CETV早期教育,http://183.236.43.98:4013/udp/239.77.0.180:5146
CGTN纪录,http://183.236.43.98:4013/udp/239.253.43.122:5146
CGTN英语,http://183.236.43.98:4013/udp/239.77.0.199:5146
CGTN西班牙语,http://183.236.43.98:4013/udp/239.77.0.221:5146
CGTN法语,http://183.236.43.98:4013/udp/239.77.0.228:5146
CGTN阿拉伯语,http://183.236.43.98:4013/udp/239.253.43.200:5146
CGTN俄语,http://183.236.43.98:4013/udp/239.253.43.201:5146
卫视频道,#genre#
广东卫视,http://183.236.43.98:4013/udp/239.77.1.19:5146
广东卫视,http://183.236.43.98:4013/udp/239.77.1.152:5146
广东卫视,http://183.236.43.98:4013/udp/239.77.0.166:5146
湖南卫视,http://183.236.43.98:4013/udp/239.77.1.5:5146
浙江卫视,http://183.236.43.98:4013/udp/239.77.1.33:5146
江苏卫视,http://183.236.43.98:4013/udp/239.77.1.18:5146
东方卫视,http://183.236.43.98:4013/udp/239.77.1.218:5146
安徽卫视,http://183.236.43.98:4013/udp/239.77.1.92:5146
北京卫视,http://183.236.43.98:4013/udp/239.77.1.4:5146
