央视频道,#genre#
CCTV1,http://114.226.212.184:8787/rtp/239.49.8.19:9614
CCTV1,http://114.226.212.180:8787/rtp/239.49.8.19:9614
CCTV2,http://114.226.212.184:8787/rtp/239.49.8.50:9802
CCTV2,http://114.226.212.180:8787/rtp/239.49.8.50:9802
CCTV3,http://114.226.212.184:8787/rtp/239.49.8.74:8000
CCTV3,http://114.226.212.180:8787/rtp/239.49.8.74:8000
CCTV4,http://114.226.212.184:8787/rtp/239.49.8.51:9806
CCTV4,http://114.226.212.180:8787/rtp/239.49.8.51:9806
CCTV5,http://114.226.212.184:8787/rtp/239.49.8.75:8000
CCTV5,http://114.226.212.180:8787/rtp/239.49.8.75:8000
CCTV5+,http://114.226.212.184:8787/rtp/239.49.8.18:9610
CCTV5+,http://114.226.212.180:8787/rtp/239.49.8.18:9610
CCTV6,http://114.226.212.184:8787/rtp/239.49.8.76:8000
CCTV6,http://114.226.212.180:8787/rtp/239.49.8.76:8000
CCTV7,http://114.226.212.184:8787/rtp/239.49.0.126:8000
CCTV7,http://114.226.212.180:8787/rtp/239.49.0.126:8000
CCTV8,http://114.226.212.184:8787/rtp/239.49.8.77:8000
CCTV8,http://114.226.212.180:8787/rtp/239.49.8.77:8000
CCTV9,http://114.226.212.184:8787/rtp/239.49.8.53:9814
CCTV9,http://114.226.212.180:8787/rtp/239.49.8.53:9814
CCTV10,http://114.226.212.184:8787/rtp/239.49.8.54:9818
CCTV10,http://114.226.212.180:8787/rtp/239.49.8.54:9818
CCTV11,http://114.226.212.184:8787/rtp/239.49.0.127:8000
CCTV11,http://114.226.212.180:8787/rtp/239.49.0.127:8000
CCTV12,http://114.226.212.184:8787/rtp/239.49.8.55:9822
CCTV12,http://114.226.212.180:8787/rtp/239.49.8.55:9822
CCTV13,http://114.226.212.184:8787/rtp/239.49.8.109:8000
CCTV13,http://114.226.212.180:8787/rtp/239.49.8.109:8000
CCTV14,http://114.226.212.184:8787/rtp/239.49.8.56:9826
CCTV14,http://114.226.212.180:8787/rtp/239.49.8.56:9826
CCTV15,http://114.226.212.184:8787/rtp/239.49.0.128:8000
CCTV15,http://114.226.212.180:8787/rtp/239.49.0.128:8000
CCTV16,http://114.226.212.184:8787/rtp/239.49.8.31:8000
CCTV16,http://114.226.212.180:8787/rtp/239.49.8.31:8000
CCTV17,http://114.226.212.184:8787/rtp/239.49.8.52:9810
CCTV17,http://114.226.212.180:8787/rtp/239.49.8.52:9810
CCTV4K,http://114.226.212.184:8787/rtp/239.49.0.82:8000
CCTV4K,http://114.226.212.180:8787/rtp/239.49.0.82:8000
