央视频道,#genre#
CCTV-1综合,http://182.87.240.174:9000/udp/239.252.219.200:5140
CCTV-2财经,http://182.87.240.174:9000/udp/239.252.220.183:5140
CCTV-3综艺,http://182.87.240.174:9000/udp/239.252.219.252:5140
CCTV-3综艺,http://182.87.240.174:9000/udp/239.252.220.193:5140
CCTV-4中文国际,http://182.87.240.174:9000/udp/239.252.220.184:5140
CCTV-4欧洲,http://182.87.240.174:9000/udp/239.252.219.192:5140
CCTV-4美洲,http://182.87.240.174:9000/udp/239.252.219.193:5140
CCTV-5体育,http://182.87.240.174:9000/udp/239.252.219.198:5140
CCTV-5体育,http://182.87.240.174:9000/udp/239.252.219.236:5140
CCTV-5+体育赛事,http://182.87.240.174:9000/udp/239.252.219.72:5140
CCTV-6电影,http://182.87.240.174:9000/udp/239.252.219.237:5140
CCTV-6电影,http://182.87.240.174:9000/udp/239.252.220.195:5140
CCTV-7国防军事,http://182.87.240.174:9000/udp/239.252.220.185:5140
CCTV-8电视剧,http://182.87.240.174:9000/udp/239.252.219.253:5140
CCTV-8电视剧,http://182.87.240.174:9000/udp/239.252.220.196:5140
CCTV-9纪录,http://182.87.240.174:9000/udp/239.252.220.186:5140
CCTV-10科教,http://182.87.240.174:9000/udp/239.252.220.91:5140
CCTV-11戏曲,http://182.87.240.174:9000/udp/239.252.219.78:5140
CCTV-12社会与法,http://182.87.240.174:9000/udp/239.252.220.187:5140
CCTV-13新闻,http://182.87.240.174:9000/udp/239.252.219.139:5140
CCTV-14少儿,http://182.87.240.174:9000/udp/239.252.220.92:5140
CCTV-15音乐,http://182.87.240.174:9000/udp/239.252.219.79:5140
CCTV-16奥林匹克,http://182.87.240.174:9000/udp/239.252.220.237:5140
CCTV-17农业农村,http://182.87.240.174:9000/udp/239.252.220.192:5140
CCTV第一剧场,http://182.87.240.174:9000/udp/239.252.219.86:5140
CCTV风云剧场,http://182.87.240.174:9000/udp/239.252.219.89:5140
CCTV怀旧剧场,http://182.87.240.174:9000/udp/239.252.219.90:5140
CCTV央视文化精品,http://182.87.240.174:9000/udp/239.252.219.81:5140
CCTV央视台球,http://182.87.240.174:9000/udp/239.252.219.80:5140
CCTV风云音乐,http://182.87.240.174:9000/udp/239.252.219.87:5140
CCTV女性时尚,http://182.87.240.174:9000/udp/239.252.219.94:5140
CCTV高尔夫网球,http://182.87.240.174:9000/udp/239.252.219.95:5140
CCTV风云足球,http://182.87.240.174:9000/udp/239.252.219.96:5140
CCTV电视指南,http://182.87.240.174:9000/udp/239.252.219.97:5140
CCTV世界地理,http://182.87.240.174:9000/udp/239.252.219.93:5140
CCTV兵器科技,http://182.87.240.174:9000/udp/239.252.219.98:5140
CETV1,http://182.87.240.174:9000/udp/239.252.220.198:5140
CETV2,http://182.87.240.174:9000/rtp/239.252.219.73:5140
CETV4,http://182.87.240.174:9000/rtp/239.252.219.169:5140
中国天气,http://182.87.240.174:9000/rtp/239.252.219.143:5140
CGTN英语,http://182.87.240.174:9000/udp/239.252.219.194:5140
CGTN纪录,http://182.87.240.174:9000/udp/239.252.219.195:5140
CGTN西班牙语,http://182.87.240.174:9000/udp/239.252.219.196:5140
CGTN法语,http://182.87.240.174:9000/udp/239.252.219.65:5140
CGTN俄语,http://182.87.240.174:9000/udp/239.252.219.67:5140
CGTN阿拉伯语,http://182.87.240.174:9000/udp/239.252.219.66:5140
CCTV4K超高清,http://182.87.240.174:9000/rtp/239.252.219.60:5140
影视频道,#genre#
CHC影迷电影,http://182.87.240.174:9000/udp/239.252.219.83:5140
CHC家庭影院,http://182.87.240.174:9000/udp/239.252.219.84:5140
CHC动作电影,http://182.87.240.174:9000/udp/239.252.219.85:5140
华数4K电影,http://182.87.240.174:9000/udp/239.252.220.212:5140
华数热播剧场,http://182.87.240.174:9000/rtp/239.252.220.138:5140
华数经典电影,http://182.87.240.174:9000/rtp/239.252.220.139:5140
华数城市剧场,http://182.87.240.174:9000/rtp/239.252.220.75:5140
华数军旅剧场,http://182.87.240.174:9000/rtp/239.252.220.76:5140
华数古装剧场,http://182.87.240.174:9000/rtp/239.252.220.77:5140
华数武侠剧场,http://182.87.240.174:9000/rtp/239.252.220.88:5140
华数喜剧影院,http://182.87.240.174:9000/rtp/239.252.220.79:5140
