央视频道,#genre#
CCTV1,http://219.156.94.32:4022/rtp/225.1.4.73:1102
CCTV1,http://219.155.101.174:4022/rtp/225.1.4.73:1102
CCTV2,http://219.156.94.32:4022/rtp/225.1.4.74:1103
CCTV2,http://219.155.101.174:4022/rtp/225.1.4.74:1103
CCTV3,http://219.156.94.32:4022/rtp/225.1.4.158:1194
CCTV3,http://219.155.101.174:4022/rtp/225.1.4.158:1194
CCTV4,http://219.156.94.32:4022/rtp/225.1.5.30:1333
CCTV4,http://219.155.101.174:4022/rtp/225.1.5.30:1333
CCTV4欧洲,http://219.156.94.32:4022/rtp/225.1.5.31:1342
CCTV4欧洲,http://219.155.101.174:4022/rtp/225.1.5.31:1342
CCTV4美洲,http://219.156.94.32:4022/rtp/225.1.5.32:1343
CCTV4美洲,http://219.155.101.174:4022/rtp/225.1.5.32:1343
CCTV5,http://219.156.94.32:4022/rtp/225.1.4.159:1195
CCTV5,http://219.155.101.174:4022/rtp/225.1.4.159:1195
CCTV5+,http://219.156.94.32:4022/rtp/225.1.4.75:1104
CCTV5+,http://219.155.101.174:4022/rtp/225.1.4.75:1104
CCTV6,http://219.156.94.32:4022/rtp/225.1.4.160:1196
CCTV6,http://219.155.101.174:4022/rtp/225.1.4.160:1196
CCTV7,http://219.156.94.32:4022/rtp/225.1.4.76:1105
CCTV7,http://219.155.101.174:4022/rtp/225.1.4.76:1105
CCTV8,http://219.156.94.32:4022/rtp/225.1.4.161:1197
CCTV8,http://219.155.101.174:4022/rtp/225.1.4.161:1197
CCTV9,http://219.156.94.32:4022/rtp/225.1.4.77:1106
CCTV9,http://219.155.101.174:4022/rtp/225.1.4.77:1106
CCTV10,http://219.156.94.32:4022/rtp/225.1.4.78:1107
CCTV10,http://219.155.101.174:4022/rtp/225.1.4.78:1107
CCTV11,http://219.156.94.32:4022/rtp/225.1.4.215:1268
CCTV11,http://219.155.101.174:4022/rtp/225.1.4.215:1268
CCTV12,http://219.156.94.32:4022/rtp/225.1.4.79:1108
CCTV12,http://219.155.101.174:4022/rtp/225.1.4.79:1108
CCTV13,http://219.156.94.32:4022/rtp/225.1.4.113:1293
CCTV13,http://219.155.101.174:4022/rtp/225.1.4.113:1293
CCTV14,http://219.156.94.32:4022/rtp/225.1.4.80:1109
CCTV14,http://219.155.101.174:4022/rtp/225.1.4.80:1109
CCTV15,http://219.156.94.32:4022/rtp/225.1.4.216:1269
CCTV15,http://219.155.101.174:4022/rtp/225.1.4.216:1269
CCTV17,http://219.156.94.32:4022/rtp/225.1.4.226:2506
CCTV17,http://219.155.101.174:4022/rtp/225.1.4.226:2506
CETV1,http://219.156.94.32:4022/rtp/225.1.4.173:1712
CETV1,http://219.155.101.174:4022/rtp/225.1.4.173:1712
CETV2,http://219.156.94.32:4022/rtp/225.1.4.165:1206
CETV2,http://219.155.101.174:4022/rtp/225.1.4.165:1206
CETV4,http://219.156.94.32:4022/rtp/225.1.4.171:1710
CETV4,http://219.155.101.174:4022/rtp/225.1.4.171:1710
CGTN英语,http://219.156.94.32:4022/rtp/225.1.5.34:1344
CGTN英语,http://219.155.101.174:4022/rtp/225.1.5.34:1344
CGTN纪录,http://219.156.94.32:4022/rtp/225.1.5.35:1345
CGTN纪录,http://219.155.101.174:4022/rtp/225.1.5.35:1345
CGTN西班牙语,http://219.156.94.32:4022/rtp/225.1.5.36:1346
CGTN西班牙语,http://219.155.101.174:4022/rtp/225.1.5.36:1346
CGTN法语,http://219.156.94.32:4022/rtp/225.1.5.37:1347
CGTN法语,http://219.155.101.174:4022/rtp/225.1.5.37:1347
CGTN阿拉伯语,http://219.156.94.32:4022/rtp/225.1.5.38:1348
CGTN阿拉伯语,http://219.155.101.174:4022/rtp/225.1.5.38:1348
CGTN俄语,http://219.156.94.32:4022/rtp/225.1.5.39:1349
CGTN俄语,http://219.155.101.174:4022/rtp/225.1.5.39:1349
卫视频道,#genre#
河南卫视,http://219.156.94.32:4022/rtp/225.1.4.98:1127
河南卫视,http://219.155.101.174:4022/rtp/225.1.4.98:1127
湖南卫视,http://219.156.94.32:4022/rtp/225.1.4.82:1111
湖南卫视,http://219.155.101.174:4022/rtp/225.1.4.82:1111
江苏卫视,http://219.156.94.32:4022/rtp/225.1.4.83:1112
江苏卫视,http://219.155.101.174:4022/rtp/225.1.4.83:1112
浙江卫视,http://219.156.94.32:4022/rtp/225.1.4.84:1113
浙江卫视,http://219.155.101.174:4022/rtp/225.1.4.84:1113
北京卫视,http://219.156.94.32:4022/rtp/225.1.4.81:1110
北京卫视,http://219.155.101.174:4022/rtp/225.1.4.81:1110
东方卫视,http://219.156.94.32:4022/rtp/225.1.4.85:1114
东方卫视,http://219.155.101.174:4022/rtp/225.1.4.85:1114
天津卫视,http://219.156.94.32:4022/rtp/225.1.4.86:1115
天津卫视,http://219.155.101.174:4022/rtp/225.1.4.86:1115
山东卫视,http://219.156.94.32:4022/rtp/225.1.4.88:1117
山东卫视,http://219.155.101.174:4022/rtp/225.1.4.88:1117
安徽卫视,http://219.156.94.32:4022/rtp/225.1.4.87:1116
安徽卫视,http://219.155.101.174:4022/rtp/225.1.4.87:1116
深圳卫视,http://219.156.94.32:4022/rtp/225.1.4.90:1119
深圳卫视,http://219.155.101.174:4022/rtp/225.1.4.90:1119
江西卫视,http://219.156.94.32:4022/rtp/225.1.4.139:1305
江西卫视,http://219.155.101.174:4022/rtp/225.1.4.139:1305
湖北卫视,http://219.156.94.32:4022/rtp/225.1.4.89:1118
湖北卫视,http://219.155.101.174:4022/rtp/225.1.4.89:1118
四川卫视,http://219.156.94.32:4022/rtp/225.1.4.151:1306
四川卫视,http://219.155.101.174:4022/rtp/225.1.4.151:1306
黑龙江卫视,http://219.156.94.32:4022/rtp/225.1.4.91:1120
黑龙江卫视,http://219.155.101.174:4022/rtp/225.1.4.91:1120
云南卫视,http://219.156.94.32:4022/rtp/225.1.4.152:1307
云南卫视,http://219.155.101.174:4022/rtp/225.1.4.152:1307
贵州卫视,http://219.156.94.32:4022/rtp/225.1.4.122:1302
贵州卫视,http://219.155.101.174:4022/rtp/225.1.4.122:1302
辽宁卫视,http://219.156.94.32:4022/rtp/225.1.4.167:1208
辽宁卫视,http://219.155.101.174:4022/rtp/225.1.4.167:1208
东南卫视,http://219.156.94.32:4022/rtp/225.1.4.228:1274
东南卫视,http://219.155.101.174:4022/rtp/225.1.4.228:1274
海南卫视,http://219.156.94.32:4022/rtp/225.1.4.195:1310
海南卫视,http://219.155.101.174:4022/rtp/225.1.4.195:1310
重庆卫视,http://219.156.94.32:4022/rtp/225.1.4.157:1308
重庆卫视,http://219.155.101.174:4022/rtp/225.1.4.157:1308
广东卫视,http://219.156.94.32:4022/rtp/225.1.4.166:1207
广东卫视,http://219.155.101.174:4022/rtp/225.1.4.166:1207
广西卫视,http://219.156.94.32:4022/rtp/225.1.4.31:1060
广西卫视,http://219.155.101.174:4022/rtp/225.1.4.31:1060
河北卫视,http://219.156.94.32:4022/rtp/225.1.4.123:1304
河北卫视,http://219.155.101.174:4022/rtp/225.1.4.123:1304
吉林卫视,http://219.156.94.32:4022/rtp/225.1.4.174:1309
吉林卫视,http://219.155.101.174:4022/rtp/225.1.4.174:1309
山西卫视,http://219.156.94.32:4022/rtp/225.1.4.38:1067
山西卫视,http://219.155.101.174:4022/rtp/225.1.4.38:1067
陕西卫视,http://219.156.94.32:4022/rtp/225.1.4.39:1068
陕西卫视,http://219.155.101.174:4022/rtp/225.1.4.39:1068
甘肃卫视,http://219.156.94.32:4022/rtp/225.1.4.42:1071
甘肃卫视,http://219.155.101.174:4022/rtp/225.1.4.42:1071
青海卫视,http://219.156.94.32:4022/rtp/225.1.4.44:1073
