央视频道,#genre#
CCTV-1综艺,http://1.83.123.65:8888/rtp/239.112.205.59:5140
CCTV-2财经,http://1.83.123.65:8888/rtp/239.112.205.78:5140
CCTV-3综合,http://1.83.123.65:8888/rtp/239.112.205.221:5140
CCTV-4中文国际,http://1.83.123.65:8888/rtp/239.112.205.202:5140
CCTV-5体育,http://1.83.123.65:8888/rtp/239.112.205.222:5140
CCTV-5+体育赛事,http://1.83.123.65:8888/rtp/239.111.205.13:5140
CCTV-6电影,http://1.83.123.65:8888/rtp/239.112.205.223:5140
CCTV-7国防军事,http://1.83.123.65:8888/rtp/239.112.205.83:5140
CCTV-8电视剧,http://1.83.123.65:8888/rtp/239.112.205.224:5140
CCTV-9纪录,http://1.83.123.65:8888/rtp/239.112.205.85:5140
CCTV-10科教,http://1.83.123.65:8888/rtp/239.112.205.86:5140
CCTV-11戏曲,http://1.83.123.65:8888/rtp/239.112.205.213:5140
CCTV-12社会与法,http://1.83.123.65:8888/rtp/239.112.205.88:5140
CCTV-14少儿,http://1.83.123.65:8888/rtp/239.112.205.91:5140
CCTV-15音乐,http://1.83.123.65:8888/rtp/239.112.205.214:5140
CCTV-16奥林匹克4K,http://1.83.123.65:8888/rtp/239.111.205.134:5140
CCTV-17农业农村,http://1.83.123.65:8888/rtp/239.112.205.211:5140
CETV1,http://1.83.123.65:8888/rtp/239.109.205.47:8312
CETV2,http://1.83.123.65:8888/rtp/239.109.205.48:8320
CETV4,http://1.83.123.65:8888/rtp/239.111.205.15:5140
CGTN英语,http://1.83.123.65:8888/rtp/239.111.205.32:5140
CGTN西班牙语,http://1.83.123.65:8888/rtp/239.111.205.33:5140
CGTN法语,http://1.83.123.65:8888/rtp/239.111.205.34:5140
影视频道,#genre#
陕西西部电影,http://1.83.123.65:8888/rtp/239.111.205.41:5140
西安戏剧影视,http://1.83.123.65:8888/rtp/239.112.205.175:5140
上海欢笑剧场,http://1.83.123.65:8888/rtp/239.112.205.236:5140
卫视频道,#genre#
陕西卫视,http://1.83.123.65:8888/rtp/239.111.205.35:5140
东方卫视,http://1.83.123.65:8888/rtp/239.112.205.61:5140
湖南卫视,http://1.83.123.65:8888/rtp/239.112.205.62:5140
江苏卫视,http://1.83.123.65:8888/rtp/239.112.205.63:5140
浙江卫视,http://1.83.123.65:8888/rtp/239.112.205.64:5140
北京卫视,http://1.83.123.65:8888/rtp/239.112.205.65:5140
广东卫视,http://1.83.123.65:8888/rtp/239.112.205.66:5140
深圳卫视,http://1.83.123.65:8888/rtp/239.112.205.67:5140
黑龙江卫视,http://1.83.123.65:8888/rtp/239.112.205.68:5140
湖北卫视,http://1.83.123.65:8888/rtp/239.112.205.69:5140
山东卫视,http://1.83.123.65:8888/rtp/239.112.205.70:5140
四川卫视,http://1.83.123.65:8888/rtp/239.112.205.184:5140
安徽卫视,http://1.83.123.65:8888/rtp/239.112.205.72:5140
重庆卫视,http://1.83.123.65:8888/rtp/239.112.205.179:5140
