央视频道,#genre#
CCTV1,http://ipipip/rtp/233.18.204.52:5140
CCTV2,http://ipipip/rtp/233.18.204.68:5140
CCTV3,http://ipipip/rtp/233.18.204.69:5140
CCTV4,http://ipipip/rtp/233.18.204.70:5140
CCTV5,http://ipipip/rtp/233.18.204.71:5140
CCTV5+,http://ipipip/rtp/233.18.204.67:5140
CCTV6,http://ipipip/rtp/233.18.204.72:5140
CCTV7,http://ipipip/rtp/233.18.204.73:5140
CCTV8,http://ipipip/rtp/233.18.204.74:5140
CCTV9,http://ipipip/rtp/233.18.204.75:5140
CCTV10,http://ipipip/rtp/233.18.204.76:5140
CCTV11,http://ipipip/rtp/233.18.204.77:5140
CCTV12,http://ipipip/rtp/233.18.204.78:5140
CCTV13,http://ipipip/rtp/233.18.204.79:5140
CCTV14,http://ipipip/rtp/233.18.204.80:5140
CCTV15,http://ipipip/rtp/233.18.204.81:5140
CCTV16,http://ipipip/rtp/233.18.204.82:5140
CCTV17,http://ipipip/rtp/233.18.204.83:5140
第一剧场,http://ipipip/rtp/233.18.204.184:5140
风云剧场,http://ipipip/rtp/233.18.204.183:5140
风云足球,http://ipipip/rtp/233.18.204.176:5140
风云音乐,http://ipipip/rtp/233.18.204.185:5140
世界地理,http://ipipip/rtp/233.18.204.179:5140
怀旧剧场,http://ipipip/rtp/233.18.204.182:5140
兵器科技,http://ipipip/rtp/233.18.204.178:5140
女性时尚,http://ipipip/rtp/233.18.204.180:5140
高尔夫网球,http://ipipip/rtp/233.18.204.181:5140
央视台球,http://ipipip/rtp/233.18.204.177:5140
央视文化精品,http://ipipip/rtp/233.18.204.186:5140
CETV1,http://ipipip/rtp/233.18.204.98:5140
CETV4,http://ipipip/rtp/233.18.204.111:5140
CETV早期教育,http://ipipip/rtp/233.18.204.187:5140

4K频道,#genre#
CCTV4K,http://ipipip/rtp/233.18.204.188:5140
CCTV4K,http://ipipip/rtp/233.18.204.204:5140
CCTV16 4K,http://ipipip/rtp/233.18.204.114:5140
CCTV16 4K,http://ipipip/rtp/233.18.204.215:5140
北京卫视4K,http://ipipip/rtp/233.18.204.209:5140
东方卫视4K,http://ipipip/rtp/233.18.204.224:5140
广东卫视4K,http://ipipip/rtp/233.18.204.218:5140
深圳卫视4K,http://ipipip/rtp/233.18.204.219:5140
湖南卫视4K,http://ipipip/rtp/233.18.204.227:5140
山东卫视4K,http://ipipip/rtp/233.18.204.228:5140
四川卫视4K,http://ipipip/rtp/233.18.204.225:5140
浙江卫视4K,http://ipipip/rtp/233.18.204.229:5140
江苏卫视4K,http://ipipip/rtp/233.18.204.226:5140
欢笑剧场4K,http://ipipip/rtp/233.18.204.115:5140
欢笑剧场4K,http://ipipip/rtp/233.18.204.205:5140

卫视频道,#genre#
四川卫视4K,http://ipipip/rtp/233.18.204.99:5140
重庆卫视,http://ipipip/rtp/233.18.204.100:5140
江苏卫视,http://ipipip/rtp/233.18.204.85:5140
浙江卫视,http://ipipip/rtp/233.18.204.84:5140
东方卫视,http://ipipip/rtp/233.18.204.51:5140
深圳卫视,http://ipipip/rtp/233.18.204.89:5140
北京卫视,http://ipipip/rtp/233.18.204.87:5140
山东卫视,http://ipipip/rtp/233.18.204.91:5140
天津卫视,http://ipipip/rtp/233.18.204.97:5140
贵州卫视,http://ipipip/rtp/233.18.204.101:5140
云南卫视,http://ipipip/rtp/233.18.204.106:5140
广西卫视,http://ipipip/rtp/233.18.204.107:5140
黑龙江卫视,http://ipipip/rtp/233.18.204.90:5140
安徽卫视,http://ipipip/rtp/233.18.204.93:5140
山西卫视,http://ipipip/rtp/233.18.204.211:5140
江西卫视,http://ipipip/rtp/233.18.204.95:5140
湖北卫视,http://ipipip/rtp/233.18.204.92:5140
旅游卫视,http://ipipip/rtp/233.18.204.102:5140
陕西卫视,http://ipipip/rtp/233.18.204.223:5140
东南卫视,http://ipipip/rtp/233.18.204.94:5140
吉林卫视,http://ipipip/rtp/233.18.204.108:5140
辽宁卫视,http://ipipip/rtp/233.18.204.96:5140
内蒙古卫视,http://ipipip/rtp/233.18.204.217:5140
湖南卫视,http://ipipip/rtp/233.18.204.86:5140
广东卫视,http://ipipip/rtp/233.18.204.88:5140
河南卫视,http://ipipip/rtp/233.18.204.105:5140
河北卫视,http://ipipip/rtp/233.18.204.103:5140
宁夏卫视,http://ipipip/rtp/233.18.204.230:5140
甘肃卫视,http://ipipip/rtp/233.18.204.110:5140
青海卫视,http://ipipip/rtp/233.18.204.112:5140
新疆卫视,http://ipipip/rtp/233.18.204.220:5140
西藏卫视,http://ipipip/rtp/233.18.204.222:5140
兵团卫视,http://ipipip/rtp/233.18.204.221:5140
三沙卫视,http://ipipip/rtp/233.18.204.172:5140

影视频道,#genre#
CHC影迷电影,http://ipipip/rtp/233.18.204.175:5140
CHC家庭影院,http://ipipip/rtp/233.18.204.173:5140
CHC动作电影,http://ipipip/rtp/233.18.204.174:5140
都市剧场,http://ipipip/rtp/233.18.204.48:5140
欢笑剧场,http://ipipip/rtp/233.18.204.50:5140
欢笑剧场,http://ipipip/rtp/233.18.204.55:5140
BesTV电影介绍,http://ipipip/rtp/233.18.204.116:5140
欢笑剧场4K,http://ipipip/rtp/233.18.204.115:5140
欢笑剧场4K,http://ipipip/rtp/233.18.204.205:5140
BesTV4K动画,http://ipipip/rtp/233.18.204.171:5140
BesTV4K电影,http://ipipip/rtp/233.18.204.169:5140
BesTV4K记录,http://ipipip/rtp/233.18.204.170:5140
天翼高清4K,http://ipipip/rtp/233.18.204.201:5140

上海频道,#genre#
上海新闻综合,http://ipipip/rtp/233.18.204.57:5140
上海教育,http://ipipip/rtp/233.18.204.63:5140
第一财经,http://ipipip/rtp/233.18.204.65:5140
第一财经,http://ipipip/rtp/233.18.204.59:5140
法治天地,http://ipipip/rtp/239.45.1.46:5140
法治天地,http://ipipip/rtp/233.18.204.49:5140
生活时尚,http://ipipip/rtp/233.18.204.45:5140
乐游,http://ipipip/rtp/233.18.204.47:5140
游戏风云,http://ipipip/rtp/233.18.204.44:5140
未知节目,http://ipipip/rtp/233.18.204.202:5140

少儿频道,#genre#
金鹰卡通,http://ipipip/rtp/233.18.204.113:5140
卡酷少儿,http://ipipip/rtp/233.18.204.109:5140
嘉佳卡通,http://ipipip/rtp/239.45.1.48:5140
动漫秀场,http://ipipip/rtp/233.18.204.46:5140
动漫秀场,http://ipipip/rtp/233.18.204.54:5140
金色学堂,http://ipipip/rtp/233.18.204.66:5140

其它频道,#genre#
茶频道,http://ipipip/rtp/233.18.204.43:5140
金鹰纪实,http://ipipip/rtp/233.18.204.104:5140
快乐垂钓,http://ipipip/rtp/233.18.204.42:5140
财富天下,http://ipipip/rtp/233.18.204.231:5140
央广购物,http://ipipip/rtp/233.18.204.39:5140
东方购物1,http://ipipip/rtp/233.18.204.61:5140
东方购物2,http://ipipip/rtp/233.18.204.62:5140
