央视频道,#genre#
CCTV1,http://ipipip/rtp/225.1.8.1:8008
CCTV2,http://ipipip/rtp/225.1.8.2:8084
CCTV3,http://ipipip/rtp/225.1.8.88:8000
CCTV4,http://ipipip/rtp/225.1.8.4:8092
CCTV5,http://ipipip/rtp/225.1.8.89:8000
CCTV5+,http://ipipip/rtp/225.1.8.20:8004
CCTV6,http://ipipip/rtp/225.1.8.84:8000
CCTV7,http://ipipip/rtp/225.1.8.7:8104
CCTV8,http://ipipip/rtp/225.1.8.85:8000
CCTV9,http://ipipip/rtp/225.1.8.9:8112
CCTV10,http://ipipip/rtp/225.1.8.10:8116
CCTV11,http://ipipip/rtp/225.1.8.73:8120
CCTV12,http://ipipip/rtp/225.1.8.12:8124
CCTV13,http://ipipip/rtp/225.1.8.168:8130
CCTV14,http://ipipip/rtp/225.1.8.14:8132
CCTV15,http://ipipip/rtp/225.1.8.74:8136
CCTV17,http://ipipip/rtp/225.1.8.17:8144
CETV1,http://ipipip/udp/225.1.8.32:8152
CETV2,http://ipipip/rtp/225.1.8.193:4120
CETV4,http://ipipip/rtp/225.1.8.195:4120
CGTN英语,http://ipipip/rtp/225.1.8.116:8056
卫视频道,#genre#
重温经典,http://ipipip/rtp/225.1.8.39:8002
北京卫视,http://ipipip/rtp/225.1.8.21:8002
湖南卫视,http://ipipip/udp/225.1.8.41:8012
深圳卫视,http://ipipip/udp/225.1.8.43:8020
江苏卫视,http://ipipip/udp/225.1.8.44:8028
东方卫视,http://ipipip/udp/225.1.8.45:8032
浙江卫视,http://ipipip/udp/225.1.8.46:8036
湖北卫视,http://ipipip/udp/225.1.8.47:8044
天津卫视,http://ipipip/udp/225.1.8.48:8044
广东卫视,http://ipipip/udp/225.1.8.49:8048
山东卫视,http://ipipip/udp/225.1.8.50:8052
辽宁卫视,http://ipipip/udp/225.1.8.51:8056
安徽卫视,http://ipipip/udp/225.1.8.52:8064
河北卫视,http://ipipip/udp/225.1.8.76:8002
贵州卫视,http://ipipip/udp/225.1.8.77:8076
东南卫视,http://ipipip/udp/225.1.8.79:8148
江西卫视,http://ipipip/udp/225.1.8.171:8166
重庆卫视,http://ipipip/udp/225.1.8.172:8162
江西卫视,http://ipipip/rtp/225.1.1.9:8164
黑龙江卫视,http://ipipip/udp/225.1.8.42:8016
云南卫视,http://ipipip/rtp/225.1.8.139:8108
河南卫视,http://ipipip/rtp/225.1.8.140:8128
四川卫视,http://ipipip/rtp/225.1.8.142:8288
广西卫视,http://ipipip/rtp/225.1.8.152:8300
吉林卫视,http://ipipip/rtp/225.1.8.153:8200
陕西卫视,http://ipipip/rtp/225.1.8.154:8140
山西卫视,http://ipipip/rtp/225.1.8.155:8172
内蒙古卫视,http://ipipip/rtp/225.1.8.156:8176
青海卫视,http://ipipip/rtp/225.1.8.157:8184
海南卫视,http://ipipip/rtp/225.1.8.158:8304
宁夏卫视,http://ipipip/rtp/225.1.8.159:8124
西藏卫视,http://ipipip/rtp/225.1.8.160:8164
新疆卫视,http://ipipip/rtp/225.1.8.161:8160
甘肃卫视,http://ipipip/rtp/225.1.8.162:8188
厦门卫视,http://ipipip/rtp/225.1.8.166:4120
兵团卫视,http://ipipip/rtp/225.1.8.167:4120
山东教育卫视,http://ipipip/rtp/225.1.8.190:4120
三沙卫视,http://ipipip/rtp/225.1.8.78:4120
北京频道,#genre#
北京文艺,http://ipipip/udp/225.1.8.22:8002
北京纪实科教,http://ipipip/udp/225.1.8.105:8002
北京影视,http://ipipip/udp/225.1.8.82:8000
北京财经,http://ipipip/udp/225.1.8.106:8002
北京体育休闲,http://ipipip/udp/225.1.8.23:8002
北京生活,http://ipipip/udp/225.1.8.108:8002
北京新闻,http://ipipip/udp/225.1.8.83:8000
北京卡酷少儿,http://ipipip/udp/225.1.8.35:8000
北京国际,http://ipipip/rtp/225.1.8.131:8002
北京卫视4K,http://ipipip/udp/225.1.8.120:8002
北京卫视4K,http://ipipip/rtp/225.1.8.128:8002
淘BABY,http://ipipip/rtp/225.1.8.36:8002
淘剧场,http://ipipip/rtp/225.1.8.37:8002
淘电影,http://ipipip/rtp/225.1.8.38:8002
淘娱乐,http://ipipip/rtp/225.1.8.61:8002
萌宠TV,http://ipipip/rtp/225.1.8.63:8002
北京IPTV4K超清,http://ipipip/rtp/225.1.8.211:8002
房山电视台,http://ipipip/rtp/225.1.8.68:8002
朝阳融媒,http://ipipip/rtp/225.1.8.69:8002
密云电视台,http://ipipip/rtp/225.1.8.75:8002

影视频道,#genre#
华数喜剧影院,http://ipipip/rtp/225.1.8.251:4120
华数动作影院,http://ipipip/rtp/225.1.8.252:4120
华数家庭影院,http://ipipip/rtp/225.1.8.253:4120
华数星影,http://ipipip/rtp/225.1.8.254:4120
华数精选,http://ipipip/rtp/225.1.8.234:4120
华数经典电影,http://ipipip/rtp/225.1.8.203:9024
华数爱上4K电影,http://ipipip/rtp/225.1.8.80:2000
华数热播剧场,http://ipipip/rtp/225.1.8.202:9020
华数城市剧场,http://ipipip/rtp/225.1.8.227:4120
华数军旅剧场,http://ipipip/rtp/225.1.8.228:4120
华数古装剧场,http://ipipip/rtp/225.1.8.229:4120
武侠剧场,http://ipipip/rtp/225.1.8.250:4120
光影,http://ipipip/rtp/225.1.8.244:4120

少儿频道,#genre#
华数少儿动画,http://ipipip/rtp/225.1.8.207:9000
华数动画,http://ipipip/rtp/225.1.8.240:4120
金鹰卡通,http://ipipip/rtp/225.1.8.163:9252
嘉佳卡通,http://ipipip/rtp/225.1.8.170:9268

其它频道,#genre#
IPTV收视指南,http://ipipip/rtp/225.1.8.201:8012
IPTV地理,http://ipipip/rtp/225.1.8.231:4120
IPTV美妆,http://ipipip/rtp/225.1.8.232:4120
IPTV好学生,http://ipipip/rtp/225.1.8.241:4120
IPTV国学,http://ipipip/rtp/225.1.8.237:4120
IPTV美人,http://ipipip/rtp/225.1.8.233:4120
IPTV5足球,http://ipipip/rtp/225.1.8.249:4120
IPTV7军事,http://ipipip/rtp/225.1.8.236:4120
IPTV10解密,http://ipipip/rtp/225.1.8.235:4120
IPTV11戏曲,http://ipipip/rtp/225.1.8.238:4120
IPTV14早教,http://ipipip/rtp/225.1.8.239:4120
IPTV15音乐现场,http://ipipip/rtp/225.1.8.230:4120
IPTV鉴赏,http://ipipip/rtp/225.1.8.242:4120
IPTV墨宝,http://ipipip/rtp/225.1.8.243:4120
IPTV爱生活,http://ipipip/rtp/225.1.8.246:4120
IPTV武术,http://ipipip/rtp/225.1.8.247:4120
台球,http://ipipip/rtp/225.1.8.245:4120
高网,http://ipipip/rtp/225.1.8.248:4120
金鹰纪实,http://ipipip/rtp/225.1.8.31:8156
快乐垂钓,http://ipipip/rtp/225.1.8.71:8002
茶频道,http://ipipip/rtp/225.1.8.72:8002
华数魅力时尚,http://ipipip/rtp/225.1.8.204:9012
