央视频道,#genre#
CCTV1,http://ipipip/rtp/239.11.0.65:5140
CCTV2,http://ipipip/rtp/239.11.0.108:5140
CCTV3,http://ipipip/rtp/239.11.0.101:5140
CCTV4,http://ipipip/rtp/239.11.0.109:5140
CCTV5,http://ipipip/rtp/239.11.0.100:5140
CCTV5+,http://ipipip/rtp/239.11.0.241:5140
CCTV6,http://ipipip/rtp/239.11.0.102:5140
CCTV7,http://ipipip/rtp/239.11.0.110:5140
CCTV8,http://ipipip/rtp/239.11.0.103:5140
CCTV9,http://ipipip/rtp/239.11.0.111:5140
CCTV10,http://ipipip/rtp/239.11.0.112:5140
CCTV11,http://ipipip/rtp/239.11.0.22:5140
CCTV12,http://ipipip/rtp/239.11.0.113:5140
CCTV13,http://ipipip/rtp/239.11.0.24:5140
CCTV14,http://ipipip/rtp/239.11.0.114:5140
CCTV15,http://ipipip/rtp/239.11.0.26:5140
CCTV16,http://ipipip/rtp/239.10.0.187:5140
CCTV17,http://ipipip/rtp/239.11.0.107:5140
CETV1,http://ipipip/rtp/239.11.0.139:5140
CETV2,http://ipipip/rtp/239.11.0.246:5140
中国交通,http://ipipip/rtp/239.10.0.143:5140
中国天气,http://ipipip/rtp/239.10.0.177:5140
CGTN英语,http://ipipip/rtp/239.11.0.245:5140
CGTN纪录,http://ipipip/rtp/239.11.0.138:5140

卫视频道,#genre#
四川卫视,http://ipipip/rtp/239.11.0.78:5140
康巴卫视,http://ipipip/rtp/239.11.0.10:5140
湖南卫视,http://ipipip/rtp/239.11.0.119:5140
江苏卫视,http://ipipip/rtp/239.11.0.76:5140
浙江卫视,http://ipipip/rtp/239.11.0.70:5140
安徽卫视,http://ipipip/rtp/239.11.0.117:5140
北京卫视,http://ipipip/rtp/239.11.0.121:5140
北京卫视4K,http://ipipip/rtp/239.10.0.91:5140
北京卫视4K,http://ipipip/rtp/239.10.0.92:5140
重庆卫视,http://ipipip/rtp/239.11.0.116:5140
东方卫视,http://ipipip/rtp/239.11.0.68:5140
东南卫视,http://ipipip/rtp/239.11.0.41:5140
甘肃卫视,http://ipipip/rtp/239.11.0.55:5140
广东卫视,http://ipipip/rtp/239.11.0.115:5140
广西卫视,http://ipipip/rtp/239.11.0.48:5140
贵州卫视,http://ipipip/rtp/239.11.0.51:5140
河北卫视,http://ipipip/rtp/239.11.0.31:5140
河南卫视,http://ipipip/rtp/239.11.0.44:5140
黑龙江卫视,http://ipipip/rtp/239.11.0.36:5140
湖北卫视,http://ipipip/rtp/239.11.0.74:5140
吉林卫视,http://ipipip/rtp/239.11.0.35:5140
江西卫视,http://ipipip/rtp/239.11.0.42:5140
辽宁卫视,http://ipipip/rtp/239.11.0.118:5140
山东卫视,http://ipipip/rtp/239.11.0.73:5140
山东教育卫视,http://ipipip/rtp/239.11.0.140:5140
