央视频道,#genre#
CCTV1,http://ipipip/udp/239.81.0.102:4056
CCTV2,http://ipipip/udp/239.81.0.115:4056
CCTV3,http://ipipip/udp/239.81.0.231:4056
CCTV4,http://ipipip/udp/239.81.0.96:4056
CCTV5,http://ipipip/udp/239.81.0.232:4056
CCTV5+,http://ipipip/udp/239.81.0.101:4056
CCTV6,http://ipipip/udp/239.81.0.233:4056
CCTV7,http://ipipip/udp/239.81.0.116:4056
CCTV8,http://ipipip/udp/239.81.0.234:4056
CCTV9,http://ipipip/udp/239.81.0.117:4056
CCTV10,http://ipipip/udp/239.81.0.118:4056
CCTV11,http://ipipip/udp/239.81.0.229:4056
CCTV12,http://ipipip/udp/239.81.0.119:4056
CCTV13,http://ipipip/udp/239.81.0.206:4056
CCTV14,http://ipipip/udp/239.81.0.120:4056
CCTV15,http://ipipip/udp/239.81.0.230:4056
CCTV17,http://ipipip/udp/239.81.0.228:4056
CETV1,http://ipipip/udp/239.81.0.92:4056
CETV2,http://ipipip/udp/239.81.0.245:4056
CETV4,http://ipipip/udp/239.81.0.246:4056
CGTN,http://ipipip/udp/239.81.0.28:4056

卫视频道,#genre#
广西卫视,http://ipipip/udp/239.81.0.107:4056
北京卫视,http://ipipip/udp/239.81.0.109:4056
天津卫视,http://ipipip/udp/239.81.0.113:4056
东方卫视,http://ipipip/udp/239.81.0.111:4056
浙江卫视,http://ipipip/udp/239.81.0.108:4056
安徽卫视,http://ipipip/udp/239.81.0.211:4056
江苏卫视,http://ipipip/udp/239.81.0.106:4056
山东卫视,http://ipipip/udp/239.81.0.114:4056
广东卫视,http://ipipip/udp/239.81.0.104:4056
四川卫视,http://ipipip/udp/239.81.0.130:4056
深圳卫视,http://ipipip/udp/239.81.0.103:4056
湖南卫视,http://ipipip/udp/239.81.0.110:4056
湖北卫视,http://ipipip/udp/239.81.0.112:4056
河北卫视,http://ipipip/udp/239.81.0.94:4056
江西卫视,http://ipipip/udp/239.81.0.204:4056
东南卫视,http://ipipip/udp/239.81.0.215:4056
贵州卫视,http://ipipip/udp/239.81.0.95:4056
辽宁卫视,http://ipipip/udp/239.81.0.210:4056
黑龙江卫视,http://ipipip/udp/239.81.0.105:4056
甘肃卫视,http://ipipip/udp/239.81.0.207:4056
重庆卫视,http://ipipip/udp/239.81.0.47:4056
吉林卫视,http://ipipip/udp/239.81.0.58:4056
陕西卫视,http://ipipip/udp/239.81.0.89:4056
山西卫视,http://ipipip/udp/239.81.0.49:4056
河南卫视,http://ipipip/udp/239.81.0.44:4056
宁夏卫视,http://ipipip/udp/239.81.0.60:4056
内蒙古卫视,http://ipipip/udp/239.81.0.54:4056
青海卫视,http://ipipip/udp/239.81.0.53:4056
新疆卫视,http://ipipip/udp/239.81.0.46:4056
西藏卫视,http://ipipip/udp/239.81.0.55:4056
云南卫视,http://ipipip/udp/239.81.0.45:4056
海南卫视,http://ipipip/udp/239.81.0.48:4056
三沙卫视,http://ipipip/udp/239.81.0.242:4056
大湾区卫视,http://ipipip/udp/239.81.0.32:4056
厦门卫视,http://ipipip/udp/239.81.0.212:4056
兵团卫视,http://ipipip/udp/239.81.0.213:4056
山东教育卫视,http://ipipip/udp/239.81.0.93:4056

广西频道,#genre#
广西综艺旅游,http://ipipip/udp/239.81.0.214:4056
广西影视频道,http://ipipip/udp/239.81.0.250:4056
广西新闻频道,http://ipipip/udp/239.81.0.248:4056
广西都市频道,http://ipipip/udp/239.81.0.247:4056
广西国际频道,http://ipipip/udp/239.81.0.8:4056
广西移动电视,http://ipipip/udp/239.81.0.10:4056
南宁新闻综合,http://ipipip/udp/239.81.0.241:4056
南宁影视娱乐,http://ipipip/udp/239.81.0.128:4056
南宁公共频道,http://ipipip/udp/239.81.0.129:4056
南宁文旅生活,http://ipipip/udp/239.81.0.127:4056
柳州新闻,http://ipipip/udp/239.81.0.134:4056
北海新闻,http://ipipip/udp/239.81.0.136:4056
玉林新闻,http://ipipip/udp/239.81.0.138:4056
贺州新闻,http://ipipip/udp/239.81.0.137:4056
桂林新闻,http://ipipip/udp/239.81.0.135:4056
华数爱上4K,http://ipipip/udp/239.81.0.123:4056
广西IPTV7,http://ipipip/udp/239.81.0.253:4056
广西IPTV8,http://ipipip/udp/239.81.0.208:4056

少儿频道,#genre#
嘉佳卡通,http://ipipip/udp/239.81.0.64:4056
卡酷动画,http://ipipip/udp/239.81.0.62:4056
金鹰卡通,http://ipipip/udp/239.81.0.61:4056
新动漫,http://ipipip/udp/239.81.0.235:4056
电竞游戏,http://ipipip/udp/239.81.0.202:4056


其它频道,#genre#
IPTV6电影,http://ipipip/udp/239.81.0.100:4056
IPTV12,http://ipipip/udp/239.81.0.124:4056
IPTV5体育,http://ipipip/udp/239.81.0.12:4056
