央视频道,#genre#
CCTV1,http://ipipip/rtp/239.254.96.82:7640
CCTV2,http://ipipip/rtp/239.254.96.124:7084
CCTV3,http://ipipip/rtp/239.254.96.67:7520
CCTV4,http://ipipip/rtp/239.254.96.180:7092
CCTV5,http://ipipip/rtp/239.254.96.66:7512
CCTV5+,http://ipipip/rtp/239.254.96.83:7004
CCTV6,http://ipipip/rtp/239.254.96.63:7488
CCTV7,http://ipipip/rtp/239.254.96.125:7104
CCTV8,http://ipipip/rtp/239.254.96.62:7480
CCTV9,http://ipipip/rtp/239.254.96.126:7112
CCTV10,http://ipipip/rtp/239.254.96.127:7116
CCTV11,http://ipipip/rtp/239.254.96.187:8166
CCTV12,http://ipipip/rtp/239.254.96.128:7124
CCTV14,http://ipipip/rtp/239.254.96.129:7132
CCTV15,http://ipipip/rtp/239.254.96.188:8170
CCTV16,http://ipipip/rtp/239.254.96.170:8206
CCTV17,http://ipipip/rtp/239.254.96.57:8204
CETV1,http://ipipip/rtp/239.254.96.155:7152
CETV4,http://ipipip/rtp/239.254.96.169:8148
CGTN纪录,http://ipipip/rtp/239.254.96.58:7448
CGTN英语,http://ipipip/rtp/239.254.96.16:7112

卫视频道,#genre#
海南卫视,http://ipipip/rtp/239.254.96.179:7154
三沙卫视,http://ipipip/rtp/239.254.96.184:7158
湖南卫视,http://ipipip/rtp/239.254.96.85:7664
浙江卫视,http://ipipip/rtp/239.254.96.89:7696
江苏卫视,http://ipipip/rtp/239.254.96.88:7688
安徽卫视,http://ipipip/rtp/239.254.96.133:7064
北京卫视,http://ipipip/rtp/239.254.96.84:7656
天津卫视,http://ipipip/rtp/239.254.96.183:7364
重庆卫视,http://ipipip/rtp/239.254.96.60:7464
东方卫视,http://ipipip/rtp/239.254.96.90:7704
东南卫视,http://ipipip/rtp/239.254.96.189:8172
广东卫视,http://ipipip/rtp/239.254.96.130:7048
深圳卫视,http://ipipip/rtp/239.254.96.87:7020
山东卫视,http://ipipip/rtp/239.254.96.131:7052
贵州卫视,http://ipipip/rtp/239.254.96.182:7076
河北卫视,http://ipipip/rtp/239.254.96.181:7072
湖北卫视,http://ipipip/rtp/239.254.96.91:7712
吉林卫视,http://ipipip/rtp/239.254.96.65:7504
江西卫视,http://ipipip/rtp/239.254.96.61:7472
辽宁卫视,http://ipipip/rtp/239.254.96.132:7056
黑龙江卫视,http://ipipip/rtp/239.254.96.86:7672
河南卫视,http://ipipip/rtp/239.254.96.34:7256
广西卫视,http://ipipip/rtp/239.254.96.46:7352
甘肃卫视,http://ipipip/rtp/239.254.96.55:7424
内蒙古卫视,http://ipipip/rtp/239.254.96.50:7384
青海卫视,http://ipipip/rtp/239.254.96.51:7392
厦门卫视,http://ipipip/rtp/239.254.96.152:8122
山西卫视,http://ipipip/rtp/239.254.96.49:7376
陕西卫视,http://ipipip/rtp/239.254.96.48:7368
四川卫视,http://ipipip/rtp/239.254.96.36:7272
西藏卫视,http://ipipip/rtp/239.254.96.53:7408
新疆卫视,http://ipipip/rtp/239.254.96.54:7416
云南卫视,http://ipipip/rtp/239.254.96.33:7248
宁夏卫视,http://ipipip/rtp/239.254.96.52:7400
兵团卫视,http://ipipip/rtp/239.254.96.153:8126
山东教育卫视,http://ipipip/rtp/239.254.96.151:8118

海南频道,#genre#
海南自贸,http://ipipip/rtp/239.254.96.185:8162
海南公共,http://ipipip/rtp/239.254.96.186:8164
海南文旅,http://ipipip/rtp/239.254.96.191:8176
海南少儿,http://ipipip/rtp/239.254.96.192:8178
海南新闻,http://ipipip/rtp/239.254.96.190:8174
海口1,http://ipipip/rtp/239.254.96.103:7808
三亚1,http://ipipip/rtp/239.254.96.106:8832
澄迈,http://ipipip/rtp/239.254.96.111:7772

其它频道,#genre#
金鹰纪实,http://ipipip/rtp/239.254.96.154:7156
