央视频道,#genre#
CCTV-1综合,http://ipipip/rtp/239.255.40.35:8208
CCTV-2财经,http://ipipip/rtp/239.255.40.36:8208
CCTV-3综艺,http://ipipip/rtp/239.255.40.195:8208
CCTV-4中文国际,http://ipipip/rtp/239.255.40.198:8208
CCTV-5体育,http://ipipip/rtp/239.255.40.196:8208
CCTV-5+体育赛事,http://ipipip/rtp/239.255.40.34:8208
CCTV-6电影,http://ipipip/rtp/239.255.40.175:8208
CCTV-7国防军事,http://ipipip/rtp/239.255.40.37:8208
CCTV-8电视剧,http://ipipip/rtp/239.255.40.197:8208
CCTV-9纪录,http://ipipip/rtp/239.255.40.38:8208
CCTV-10科教,http://ipipip/rtp/239.255.40.39:8208
CCTV-11戏曲,http://ipipip/rtp/239.255.40.2:8208
CCTV-12社会与法,http://ipipip/rtp/239.255.40.40:8208
CCTV-13新闻,http://ipipip/rtp/239.255.40.3:8208
CCTV-14少儿,http://ipipip/rtp/239.255.40.41:8208
CCTV-15音乐,http://ipipip/rtp/239.255.40.4:8208
CCTV-16奥林匹克,http://ipipip/rtp/239.255.40.194:8208
CCTV-17农业农村,http://ipipip/rtp/239.255.40.143:8208
CETV1,http://ipipip/rtp/239.255.40.201:8208
CETV2,http://ipipip/rtp/239.255.40.30:8208
CETV4,http://ipipip/rtp/239.255.40.31:8208
CGTN英语,http://ipipip/rtp/239.255.40.5:8208
CGTN俄语,http://ipipip/rtp/239.255.40.179:8208
CGTN法语,http://ipipip/rtp/239.255.40.178:8208
CGTN纪录,http://ipipip/rtp/239.255.40.183:8208
中国天气,http://ipipip/rtp/239.255.40.89:8208
中国交通,http://ipipip/rtp/239.255.40.211:8208

影视频道,#genre#
华数电影,http://ipipip/rtp/239.255.40.64:8208
华数电视剧,http://ipipip/rtp/239.255.40.65:8208
华数谍战剧场,http://ipipip/rtp/239.255.40.58:8208
华数经典电影,http://ipipip/rtp/239.255.40.70:8208
华数热播剧场,http://ipipip/rtp/239.255.40.69:8208
华数影视,http://ipipip/rtp/239.255.40.159:8208

卫视频道,#genre#
东南卫视,http://ipipip/rtp/239.255.40.203:8208
东南卫视,http://ipipip/rtp/239.255.40.149:8208
海峡卫视,http://ipipip/rtp/239.255.40.157:8208
三沙卫视,http://ipipip/rtp/239.255.40.82:8208
广东卫视,http://ipipip/rtp/239.255.40.52:8208
浙江卫视,http://ipipip/rtp/239.255.40.49:8208
湖南卫视,http://ipipip/rtp/239.255.40.43:8208
北京卫视,http://ipipip/rtp/239.255.40.46:8208
湖北卫视,http://ipipip/rtp/239.255.40.47:8208
黑龙江卫视,http://ipipip/rtp/239.255.40.44:8208
安徽卫视,http://ipipip/rtp/239.255.40.53:8208
重庆卫视,http://ipipip/rtp/239.255.40.21:8208
东方卫视,http://ipipip/rtp/239.255.40.50:8208
甘肃卫视,http://ipipip/rtp/239.255.40.16:8208
广西卫视,http://ipipip/rtp/239.255.40.22:8208
贵州卫视,http://ipipip/rtp/239.255.40.200:8208
海南卫视,http://ipipip/rtp/239.255.40.23:8208
河北卫视,http://ipipip/rtp/239.255.40.20:8208
河南卫视,http://ipipip/rtp/239.255.40.9:8208
吉林卫视,http://ipipip/rtp/239.255.40.17:8208
江苏卫视,http://ipipip/rtp/239.255.40.42:8208
江西卫视,http://ipipip/rtp/239.255.40.18:8208
辽宁卫视,http://ipipip/rtp/239.255.40.54:8208
山东卫视,http://ipipip/rtp/239.255.40.51:8208
山东教育卫视,http://ipipip/rtp/239.255.40.32:8208
四川卫视,http://ipipip/rtp/239.255.40.19:8208
深圳卫视,http://ipipip/rtp/239.255.40.199:8208
天津卫视,http://ipipip/rtp/239.255.40.48:8208
云南卫视,http://ipipip/rtp/239.255.40.6:8208
青海卫视,http://ipipip/rtp/239.255.40.15:8208
山西卫视,http://ipipip/rtp/239.255.40.13:8208
陕西卫视,http://ipipip/rtp/239.255.40.10:8208
内蒙古卫视,http://ipipip/rtp/239.255.40.14:8208
宁夏卫视,http://ipipip/rtp/239.255.40.8:8208
西藏卫视,http://ipipip/rtp/239.255.40.12:8208
新疆卫视,http://ipipip/rtp/239.255.40.11:8208
兵团卫视,http://ipipip/rtp/239.255.40.29:8208

福建频道,#genre#
福建综合频道,http://ipipip/rtp/239.255.40.148:8208
福建新闻频道,http://ipipip/rtp/239.255.40.151:8208
福建综合频道,http://ipipip/rtp/239.255.40.202:8208
福建公共频道,http://ipipip/rtp/239.255.40.150:8208
福建电视剧频道,http://ipipip/rtp/239.255.40.152:8208
福建经济频道,http://ipipip/rtp/239.255.40.154:8208
福建文体频道,http://ipipip/rtp/239.255.40.155:8208
福建旅游频道,http://ipipip/rtp/239.255.40.153:8208
福建少儿频道,http://ipipip/rtp/239.255.40.156:8208
福建教育频道,http://ipipip/rtp/239.255.40.106:8208
