央视频道,#genre#
CCTV1,http://ipipip/rtp/238.255.2.91:5999
CCTV2,http://ipipip/rtp/238.255.2.11:5999
CCTV3,http://ipipip/rtp/238.255.2.133:5999
CCTV4,http://ipipip/rtp/238.255.2.92:5999
CCTV4欧洲,http://ipipip/rtp/238.255.2.213:5999
CCTV4美洲,http://ipipip/rtp/238.255.2.214:5999
CCTV5,http://ipipip/rtp/238.255.2.134:5999
CCTV5+,http://ipipip/rtp/238.255.2.185:5999
CCTV6,http://ipipip/rtp/238.255.2.135:5999
CCTV7,http://ipipip/rtp/238.255.2.12:5999
CCTV8,http://ipipip/rtp/238.255.2.136:5999
CCTV9,http://ipipip/rtp/238.255.2.155:5999
CCTV10,http://ipipip/rtp/238.255.2.13:5999
CCTV11,http://ipipip/rtp/238.255.2.14:5999
CCTV12,http://ipipip/rtp/238.255.2.15:5999
CCTV13,http://ipipip/rtp/238.255.2.16:5999
CCTV13,http://ipipip/rtp/238.255.2.218:5999
CCTV14,http://ipipip/rtp/238.255.2.17:5999
CCTV15,http://ipipip/rtp/238.255.2.18:5999
CCTV17,http://ipipip/rtp/238.255.2.137:5999
第一剧场,http://ipipip/rtp/238.255.2.25:5999
风云剧场,http://ipipip/rtp/238.255.2.28:5999
怀旧剧场,http://ipipip/rtp/238.255.2.33:5999
兵器科技,http://ipipip/rtp/238.255.2.34:5999
风云音乐,http://ipipip/rtp/238.255.2.24:5999
风云足球,http://ipipip/rtp/238.255.2.29:5999
高尔夫网球,http://ipipip/rtp/238.255.2.223:5999
女性时尚,http://ipipip/rtp/238.255.2.27:5999
世界地理,http://ipipip/rtp/238.255.2.26:5999
央视台球,http://ipipip/rtp/238.255.2.224:5999
央视文化精品,http://ipipip/rtp/238.255.2.32:5999
CETV1,http://ipipip/rtp/238.255.2.105:5999
CETV2,http://ipipip/rtp/238.255.2.221:5999
CETV4,http://ipipip/rtp/238.255.2.222:5999
CGTN英语,http://ipipip/rtp/238.255.2.207:5999
CGTN纪录,http://ipipip/rtp/238.255.2.212:5999
CGTN阿拉伯语,http://ipipip/rtp/238.255.2.211:5999
CGTN俄语,http://ipipip/rtp/238.255.2.210:5999
CGTN法语,http://ipipip/rtp/238.255.2.208:5999
CGTN西班牙语,http://ipipip/rtp/238.255.2.209:5999

卫视频道,#genre#
贵州卫视,http://ipipip/rtp/238.255.2.1:5999
北京卫视,http://ipipip/rtp/238.255.2.81:5999
东方卫视,http://ipipip/rtp/238.255.2.98:5999
