央视频道,#genre#
CCTV1,http://ipipip/rtp/232.0.0.27:1234
CCTV2,http://ipipip/rtp/232.0.0.135:1234
CCTV3,http://ipipip/rtp/232.0.0.170:1234
CCTV4,http://ipipip/rtp/232.0.0.201:1234
CCTV4欧洲,http://ipipip/rtp/232.0.0.53:1234
CCTV4美洲,http://ipipip/rtp/232.0.0.59:1234
CCTV5,http://ipipip/rtp/232.0.0.171:1234
CCTV5+,http://ipipip/rtp/232.0.0.93:1234
CCTV6,http://ipipip/rtp/232.0.0.172:1234
CCTV7,http://ipipip/rtp/232.0.0.136:1234
CCTV8,http://ipipip/rtp/232.0.0.173:1234
CCTV9,http://ipipip/rtp/232.0.0.137:1234
CCTV10,http://ipipip/rtp/232.0.0.138:1234
CCTV11,http://ipipip/rtp/232.0.0.178:1234
CCTV12,http://ipipip/rtp/232.0.0.139:1234
CCTV13,http://ipipip/rtp/232.0.0.15:1234
CCTV14,http://ipipip/rtp/232.0.0.140:1234
CCTV15,http://ipipip/rtp/232.0.0.179:1234
CCTV16,http://ipipip/rtp/232.0.0.182:1234
CCTV17,http://ipipip/rtp/232.0.0.230:1234
第一剧场,http://ipipip/rtp/232.0.0.29:1234
怀旧剧场,http://ipipip/rtp/232.0.0.38:1234
风云剧场,http://ipipip/rtp/232.0.0.45:1234
风云足球,http://ipipip/rtp/232.0.0.52:1234
风云音乐,http://ipipip/rtp/232.0.0.47:1234
央视台球,http://ipipip/rtp/232.0.0.60:1234
央视文化精品,http://ipipip/rtp/232.0.0.56:1234
世界地理,http://ipipip/rtp/232.0.0.63:1234
兵器科技,http://ipipip/rtp/232.0.0.58:1234
女性时尚,http://ipipip/rtp/232.0.0.51:1234
CETV1,http://ipipip/rtp/232.0.0.212:1234
CETV2,http://ipipip/rtp/232.0.0.238:1234
CETV4,http://ipipip/rtp/232.0.0.239:1234
CGTN英语,http://ipipip/rtp/232.0.0.188:1234
CGTN纪录,http://ipipip/rtp/232.0.0.198:1234
CGTN俄语,http://ipipip/rtp/232.0.0.28:1234
CGTN西班牙语,http://ipipip/rtp/232.0.0.6:1234
CGTN阿拉伯语,http://ipipip/rtp/232.0.0.43:1234
CGTN法语,http://ipipip/rtp/232.0.0.8:1234

卫视频道,#genre#
辽宁卫视,http://ipipip/rtp/232.0.0.126:1234
北京卫视,http://ipipip/rtp/232.0.0.117:1234
天津卫视,http://ipipip/rtp/232.0.0.125:1234
东方卫视,http://ipipip/rtp/232.0.0.122:1234
浙江卫视,http://ipipip/rtp/232.0.0.123:1234
江苏卫视,http://ipipip/rtp/232.0.0.116:1234
安徽卫视,http://ipipip/rtp/232.0.0.141:1234
湖南卫视,http://ipipip/rtp/232.0.0.115:1234
贵州卫视,http://ipipip/rtp/232.0.0.181:1234
山东卫视,http://ipipip/rtp/232.0.0.131:1234
广东卫视,http://ipipip/rtp/232.0.0.130:1234
湖北卫视,http://ipipip/rtp/232.0.0.124:1234
四川卫视,http://ipipip/rtp/232.0.0.185:1234
重庆卫视,http://ipipip/rtp/232.0.0.186:1234
东南卫视,http://ipipip/rtp/232.0.0.74:1234
深圳卫视,http://ipipip/rtp/232.0.0.110:1234
海南卫视,http://ipipip/rtp/232.0.0.26:1234
黑龙江卫视,http://ipipip/rtp/232.0.0.95:1234
江西卫视,http://ipipip/rtp/232.0.0.82:1234
河北卫视,http://ipipip/rtp/232.0.0.49:1234
河南卫视,http://ipipip/rtp/232.0.0.80:1234
青海卫视,http://ipipip/rtp/232.0.0.101:1234
云南卫视,http://ipipip/rtp/232.0.0.40:1234
陕西卫视,http://ipipip/rtp/232.0.0.35:1234
内蒙古卫视,http://ipipip/rtp/232.0.0.111:1234
宁夏卫视,http://ipipip/rtp/232.0.0.34:1234
吉林卫视,http://ipipip/rtp/232.0.0.180:1234
广西卫视,http://ipipip/rtp/232.0.0.76:1234
山西卫视,http://ipipip/rtp/232.0.0.86:1234
新疆卫视,http://ipipip/rtp/232.0.0.18:1234
甘肃卫视,http://ipipip/rtp/232.0.0.50:1234
西藏卫视,http://ipipip/rtp/232.0.0.114:1234
厦门卫视,http://ipipip/rtp/232.0.0.160:1234
山东教育卫视,http://ipipip/rtp/232.0.0.169:1234
兵团卫视,http://ipipip/rtp/232.0.0.67:1234
延边卫视,http://ipipip/rtp/232.0.0.161:1234

影视频道,#genre#
辽宁影视剧,http://ipipip/rtp/232.0.0.25:1234
华数怀旧电影,http://ipipip/rtp/232.0.0.48:1234
劲爆电影,http://ipipip/rtp/232.0.0.155:1234
爱上4K,http://ipipip/rtp/232.0.0.187:1234
华数谍战剧场,http://ipipip/rtp/232.0.0.203:1234
华数精选,http://ipipip/rtp/232.0.0.102:1234
上海都市剧场,http://ipipip/rtp/232.0.0.149:1234
上海欢笑剧场4K,http://ipipip/rtp/232.0.0.98:1234

辽宁频道,#genre#
辽宁都市频道,http://ipipip/rtp/232.0.0.154:1234
辽宁影视剧频道,http://ipipip/rtp/232.0.0.25:1234
辽宁体育休闲,http://ipipip/rtp/232.0.0.164:1234
辽宁生活频道,http://ipipip/rtp/232.0.0.150:1234
辽宁教育青少,http://ipipip/rtp/232.0.0.241:1234
辽宁北方频道,http://ipipip/rtp/232.0.0.151:1234
辽宁公共频道,http://ipipip/rtp/232.0.0.168:1234
辽宁经济频道,http://ipipip/rtp/232.0.0.156:1234
移动电视,http://ipipip/rtp/232.0.0.165:1234
沈阳新闻综合,http://ipipip/rtp/232.0.0.206:1234
