央视频道,#genre#
CCTV1,http://47.117.107.189:35455/mgtv/608807420.m3u8
CCTV2,http://47.117.107.189:35455/mgtv/631780532.m3u8
CCTV3,http://47.117.107.189:35455/mgtv/624878271.m3u8
CCTV4,http://47.117.107.189:35455/mgtv/631780421.m3u8
CCTV4,http://47.117.107.189:35455/mgtv/608807419.m3u8
CCTV4,http://47.117.107.189:35455/mgtv/608807416.m3u8
CCTV5,http://47.117.107.189:35455/mgtv/641886683.m3u8
CCTV5+,http://47.117.107.189:35455/mgtv/641886773.m3u8
CCTV6,http://47.117.107.189:35455/mgtv/624878396.m3u8
CCTV7,http://47.117.107.189:35455/mgtv/673168121.m3u8
CCTV8,http://47.117.107.189:35455/mgtv/624878356.m3u8
CCTV9,http://47.117.107.189:35455/mgtv/673168140.m3u8
CCTV10,http://47.117.107.189:35455/mgtv/624878405.m3u8
CCTV11,http://47.117.107.189:35455/mgtv/667987558.m3u8
CCTV12,http://47.117.107.189:35455/mgtv/673168185.m3u8
CCTV13,http://47.117.107.189:35455/mgtv/608807423.m3u8
CCTV14,http://47.117.107.189:35455/mgtv/624878440.m3u8
CCTV15,http://47.117.107.189:35455/mgtv/673168223.m3u8
CCTV16,http://47.117.107.189:35455/nptv/cctv16.m3u8
CCTV17,http://47.117.107.189:35455/mgtv/673168256.m3u8

CCTV4K,http://47.117.107.189:35455/nptv/cctv4k.m3u8
CCTV8K,http://47.117.107.189:35455/nptv/cctv8k.m3u8

CETV1,http://47.117.107.189:35455/mgtv/923287154.m3u8
CETV1,http://47.117.107.189:35455/nptv/cetv1.m3u8
CETV2,http://47.117.107.189:35455/mgtv/923287211.m3u8
CETV4,http://47.117.107.189:35455/mgtv/923287339.m3u8
老故事,http://47.117.107.189:35455/mgtv/884121956.m3u8
发现之旅,http://47.117.107.189:35455/mgtv/624878970.m3u8
中学生,http://47.117.107.189:35455/mgtv/708869532.m3u8
第一剧场,http://47.117.107.189:35455/nptv/dyjc.m3u8
风云剧场,http://47.117.107.189:35455/nptv/fyjc.m3u8
怀旧剧场,http://47.117.107.189:35455/nptv/hjjc.m3u8
CHC影迷电影,http://47.117.107.189:35455/mgtv/952383261.m3u8
CHC动作电影,http://47.117.107.189:35455/mgtv/644368714.m3u8
CHC家庭影院,http://47.117.107.189:35455/mgtv/644368373.m3u8

CGTN,http://47.117.107.189:35455/mgtv/609017205.m3u8
CGTN外语纪录,http://47.117.107.189:35455/mgtv/609006487.m3u8
CGTN阿拉伯语,http://47.117.107.189:35455/mgtv/609154345.m3u8
CGTN西班牙语,http://47.117.107.189:35455/mgtv/609006450.m3u8
CGTN法语,http://47.117.107.189:35455/mgtv/609006476.m3u8
CGTN俄语,http://47.117.107.189:35455/mgtv/609006446.m3u8

卫视频道,#genre#
重温经典,https://gdcucc.v1.mk/gdcucc/cwjd.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
北京纪实科教8K,https://gdcucc.v1.mk/gdcucc/brtv8k.m3u8
东方卫视,http://47.117.107.189:35455/mgtv/651632648.m3u8
江苏卫视,http://47.117.107.189:35455/mgtv/623899368.m3u8
广东卫视,http://47.117.107.189:35455/mgtv/608831231.m3u8
江西卫视,http://47.117.107.189:35455/mgtv/783847495.m3u8
河南卫视,http://47.117.107.189:35455/mgtv/790187291.m3u8
陕西卫视,http://47.117.107.189:35455/mgtv/738910838.m3u8
大湾区卫视,http://47.117.107.189:35455/mgtv/608917627.m3u8
湖北卫视,http://47.117.107.189:35455/mgtv/947472496.m3u8
吉林卫视,http://47.117.107.189:35455/mgtv/947472500.m3u8
青海卫视,http://47.117.107.189:35455/mgtv/947472506.m3u8
东南卫视,http://47.117.107.189:35455/mgtv/849116810.m3u8
海南卫视,http://47.117.107.189:35455/mgtv/947472502.m3u8
海峡卫视,http://47.117.107.189:35455/mgtv/849119120.m3u8
北京卫视,http://47.117.107.189:35455/nptv/beijing.m3u8
湖南卫视,http://47.117.107.189:35455/nptv/hunan.m3u8
江苏卫视,http://47.117.107.189:35455/nptv/jiangsu.m3u8
东方卫视,http://47.117.107.189:35455/nptv/dongfang.m3u8
浙江卫视,http://47.117.107.189:35455/nptv/zhejiang.m3u8
湖北卫视,http://47.117.107.189:35455/nptv/hubei.m3u8
天津卫视,http://47.117.107.189:35455/nptv/tianjing.m3u8
山东卫视,http://47.117.107.189:35455/nptv/shandong.m3u8
辽宁卫视,http://47.117.107.189:35455/nptv/liaoning.m3u8
安徽卫视,http://47.117.107.189:35455/nptv/anhui.m3u8
黑龙江卫视,http://47.117.107.189:35455/nptv/heilongjiang.m3u8
贵州卫视,http://47.117.107.189:35455/nptv/guizhou.m3u8
东南卫视,http://47.117.107.189:35455/nptv/dongnan.m3u8
重庆卫视,http://47.117.107.189:35455/nptv/chongqing.m3u8
江西卫视,http://47.117.107.189:35455/nptv/jiangxi.m3u8
广东卫视,http://47.117.107.189:35455/nptv/guangdong.m3u8
河北卫视,http://47.117.107.189:35455/nptv/hebei.m3u8
深圳卫视,http://47.117.107.189:35455/nptv/shenzheng.m3u8
吉林卫视,http://47.117.107.189:35455/nptv/jiling.m3u8
河南卫视,http://47.117.107.189:35455/nptv/henan.m3u8
四川卫视,http://47.117.107.189:35455/nptv/sichuan.m3u8
广西卫视,http://47.117.107.189:35455/nptv/guangxi.m3u8
陕西卫视,http://47.117.107.189:35455/nptv/shanxiws.m3u8
山西卫视,http://47.117.107.189:35455/nptv/shanxi.m3u8
内蒙古卫视,http://47.117.107.189:35455/nptv/neimenggu.m3u8
青海卫视,http://47.117.107.189:35455/nptv/qinghai.m3u8
