更新时间,#genre#
2025-09-05 07:32:09,url
央视频道,#genre#:
CCTV-7 国防军事,http://114.104.182.113:8688/udp/238.1.78.239:7784
CCTV-8 电视剧,http://114.104.182.113:8688/udp/238.1.78.173:7256
CCTV-12 社会与法,http://114.104.182.113:8688/udp/238.1.78.242:7808
CCTV央视台球,http://114.104.182.113:8688/udp/238.1.79.59:4608
CCTV风云音乐,http://114.104.182.113:8688/udp/238.1.79.64:4648
CCTV高尔夫网球,http://114.104.182.113:8688/udp/238.1.79.58:4600

卫视频道,#genre#:
东方卫视,http://114.104.182.113:8688/udp/238.1.78.163:7176
内蒙古卫视,http://114.104.182.113:8688/udp/238.1.78.103:6696
山西卫视,http://114.104.182.113:8688/udp/238.1.78.95:6632
浙江卫视,http://114.104.182.113:8688/udp/238.1.78.164:7184
重庆卫视,http://114.104.182.113:8688/udp/238.1.78.31:6176
青海卫视,http://114.104.182.113:8688/udp/238.1.78.102:6688
黑龙江卫视,http://114.104.182.113:8688/udp/238.1.78.159:7144

安徽频道,#genre#:
六安综合频道,http://114.104.182.113:8688/udp/238.1.78.144:7024
肥西新闻综合,http://114.104.182.113:8688/udp/238.1.78.185:7352
蒙城新闻频道,http://114.104.182.113:8688/udp/238.1.79.19:4264
霍邱新闻综合,http://114.104.182.113:8688/udp/238.1.78.119:6824

其他频道,#genre#:
CGTN,http://114.104.182.113:8688/udp/238.1.78.50:6272
东方财*浦东,http://114.104.182.113:8688/udp/238.1.78.73:6456
中国教育CETV-1,http://114.104.182.113:8688/udp/238.1.78.158:7136
生活时尚,http://114.104.182.113:8688/udp/238.1.78.155:7112
财富天下,http://114.104.182.113:8688/udp/238.1.78.25:6128


Web page content is not allowed. This service is for resource downloads only.
