
安徽电信-组播1,#genre#
安徽卫视,http://114.107.2.156:2000/rtp/238.1.79.27:4328
安徽经济生活,http://114.107.2.156:2000/rtp/238.1.79.44:4464
安徽影视频道,http://114.107.2.156:2000/rtp/238.1.79.42:4448
安徽农业科教,http://114.107.2.156:2000/rtp/238.1.79.40:4432
安徽国际频道,http://114.107.2.156:2000/rtp/238.1.78.61:6360
安徽公共频道,http://114.107.2.156:2000/rtp/238.1.79.43:4456
安徽综艺体育,http://114.107.2.156:2000/rtp/238.1.79.41:4440
合肥新闻频道,http://114.107.2.156:2000/rtp/238.1.78.111:6760
黄山新闻综合,http://114.107.2.156:2000/rtp/238.1.78.130:6912
黄山文旅频道,http://114.107.2.156:2000/rtp/238.1.78.131:6920
旌德新闻综合,http://114.107.2.156:2000/rtp/238.1.78.215:7592
霍邱新闻综合,http://114.107.2.156:2000/rtp/238.1.78.119:6824
六安综合频道,http://114.107.2.156:2000/rtp/238.1.78.144:7024
六安社会生活,http://114.107.2.156:2000/rtp/238.1.78.145:7032
淮北新闻综合,http://114.107.2.156:2000/rtp/238.1.78.135:6952
淮北经济生活,http://114.107.2.156:2000/rtp/238.1.78.136:6960
淮南新闻综合,http://114.107.2.156:2000/rtp/238.1.78.113:6776
淮南民生频道,http://114.107.2.156:2000/rtp/238.1.78.114:6784
滁州新闻综合,http://114.107.2.156:2000/rtp/238.1.78.132:6928
滁州公共频道,http://114.107.2.156:2000/rtp/238.1.78.133:6936
滁州科教频道,http://114.107.2.156:2000/rtp/238.1.78.134:6944
蒙城新闻频道,http://114.107.2.156:2000/rtp/238.1.79.19:4264
南陵新闻综合,http://114.107.2.156:2000/rtp/238.1.78.189:7384
祁门综合频道,http://114.107.2.156:2000/rtp/238.1.79.14:4224
湾沚综合频道,http://114.107.2.156:2000/rtp/238.1.78.187:7368
繁昌新闻综合,http://114.107.2.156:2000/rtp/238.1.78.190:7392
桐城综合频道,http://114.107.2.156:2000/rtp/238.1.78.28:6152
太湖新闻综合,http://114.107.2.156:2000/rtp/238.1.79.12:4208
池州新闻综合,http://114.107.2.156:2000/rtp/238.1.78.147:7048
池州文教生活,http://114.107.2.156:2000/rtp/238.1.78.148:7056
义安新闻综合,http://114.107.2.156:2000/rtp/238.1.78.211:7560
阜阳新闻综合,http://114.107.2.156:2000/rtp/238.1.78.124:6864
阜阳生活频道,http://114.107.2.156:2000/rtp/238.1.78.125:6872
阜阳教育频道,http://114.107.2.156:2000/rtp/238.1.78.126:6880
阜阳都市文艺,http://114.107.2.156:2000/rtp/238.1.78.127:6888
泗县新闻频道,http://114.107.2.156:2000/rtp/238.1.78.193:7416
临泉新闻频道,http://114.107.2.156:2000/rtp/238.1.78.29:6160
阜南新闻综合,http://114.107.2.156:2000/rtp/238.1.79.11:4200
亳州综合频道,http://114.107.2.156:2000/rtp/238.1.78.128:6896
