CCTV1,udp://238.1.78.166:7200
CCTV2,udp://238.1.78.235:7752
CCTV3,udp://238.1.78.170:7232
CCTV4,udp://238.1.78.236:7760
CCTV5,udp://238.1.78.171:7240
CCTV5+,udp://238.1.78.237:7768
CCTV6,udp://238.1.78.172:7248
CCTV7,udp://238.1.78.239:7784
CCTV8,udp://238.1.78.173:7256
CCTV9,udp://238.1.78.240:7792
CCTV10,udp://238.1.78.241:7800
CCTV11,udp://238.1.78.206:7502
CCTV12,udp://238.1.78.242:7808
CCTV13,udp://238.1.79.35:4392
CCTV14,udp://238.1.78.243:7816
CCTV15,udp://238.1.78.222:7648
CCTV17,udp://238.1.78.178:7296
CCTV 4K,udp://238.1.78.137:6968
怀旧剧场,udp://238.1.79.61:4624
风云剧场,udp://238.1.79.62:4632
第一剧场,udp://238.1.79.63:4640
兵器科技,udp://238.1.79.56:4584
风云足球,udp://238.1.79.57:4592
世界地理,udp://238.1.79.60:4616
风云音乐,udp://238.1.79.64:4648
电视指南,udp://238.1.79.53:4560
文化精品,udp://238.1.79.54:4568
女性时尚,udp://238.1.79.55:4576
高尔夫网球,udp://238.1.79.58:4600
央视台球,udp://238.1.79.59:4608

CETV1,udp://238.1.78.158:7136 
CETV1,udp://238.1.78.105:6712
CETV2,udp://238.1.78.106:6720
CETV4,udp://238.1.78.253:7896

安徽卫视,udp://238.1.79.27:4328
北京卫视,udp://238.1.78.162:7168
北京卫视,udp://238.1.78.63:6376$标清
天津卫视,udp://238.1.78.20:6088
天津卫视,udp://238.1.78.91:6600$标清
湖北卫视,udp://238.1.78.168:7216
湖北卫视,udp://238.1.78.94:6624$标清
湖南卫视,udp://238.1.78.160:7152
湖南卫视,udp://238.1.78.67:6408$标清
东方卫视,udp://238.1.78.163:7176
安徽卫视,udp://238.1.78.150:7072
江苏卫视,udp://238.1.78.165:7192
江苏卫视,udp://238.1.78.64:6384$标清
浙江卫视,udp://238.1.78.164:7184
浙江卫视,udp://238.1.78.65:6392$标清
河北卫视,udp://238.1.78.245:7832
河北卫视,udp://238.1.78.87:6568$标清
河南卫视,udp://238.1.79.65:4632
河南卫视,udp://238.1.78.69:6424$标清
山东卫视,udp://238.1.78.169:7224
山东卫视,udp://238.1.78.66:6400$标清
山东教育频道,udp://238.1.78.254:7904
山西卫视,udp://238.1.78.95:6632$标清
东南卫视,udp://238.1.78.22:6104
东南卫视,udp://238.1.78.62:6368$标清
四川卫视,udp://238.1.78.30:6168
四川卫视,udp://238.1.78.71:6440$标清
江西卫视,udp://238.1.78.26:6136
江西卫视,udp://238.1.78.86:6560$标清
重庆卫视,udp://238.1.78.31:6176
重庆卫视,udp://238.1.78.72:6448$标清
广东卫视,udp://238.1.78.161:7160
广东卫视,udp://238.1.78.68:6416$标清
广西卫视,udp://238.1.78.70:6432$标清
黑龙江卫视,udp://238.1.78.159:7144
黑龙江卫视,udp://238.1.78.98:6656$标清
陕西卫视,udp://238.1.78.88:6576$标清
云南卫视,udp://238.1.78.89:6584$标清
吉林卫视,udp://238.1.79.48:4496
吉林卫视,udp://238.1.78.93:6616$标清
辽宁卫视,udp://238.1.78.21:6096
辽宁卫视,udp://238.1.78.92:6608$标清
海南卫视,udp://238.1.79.49:4504
贵州卫视,udp://238.1.78.244:7824
贵州卫视,udp://238.1.78.90:6592$标清
甘肃卫视,udp://238.1.79.36:4400
甘肃卫视,udp://238.1.78.108:6736$标清
深圳卫视,udp://238.1.78.156:7120
深圳卫视,udp://238.1.78.99:6664$标清
三沙卫视,udp://238.1.78.27:6144
宁夏卫视,udp://238.1.78.109:6744
新疆卫视,udp://238.1.78.110:6752
兵团卫视,udp://238.1.78.104:6704
厦门卫视,udp://238.1.78.246:7840
西藏卫视,udp://238.1.78.101:6680
青海卫视,udp://238.1.78.102:6688
内蒙古卫视,udp://238.1.78.103:6696

安徽经济生活,udp://238.1.79.44:4464
安徽影视频道,udp://238.1.79.42:4448
安徽农业科教,udp://238.1.79.40:4432
安徽国际频道,udp://238.1.78.61:6360
安徽公共频道,udp://238.1.79.43:4456
安徽综艺体育,udp://238.1.79.41:4440
合肥新闻频道,udp://238.1.78.111:6760
黄山新闻综合,udp://238.1.78.130:6912
黄山文旅频道,udp://238.1.78.131:6920
旌德新闻综合,udp://238.1.78.215:7592
霍邱新闻综合,udp://238.1.78.119:6824
六安综合频道,udp://238.1.78.144:7024
