# 上海市电信 IP速度测试结果 - 有效IP 8/11
# 测试时间: 2026-02-12 13:09:34
# IP:端口 速度 连接时间(ms)
121.37.190.200:3542 33.7KB/s (ping:192ms)
1.94.42.128:211 33.7KB/s (ping:195ms)
60.204.136.158:7547 33.7KB/s (ping:194ms)
121.37.187.105:7007 33.6KB/s (ping:194ms)
60.204.210.122:40001 33.5KB/s (ping:195ms)
115.175.34.158:7170 33.5KB/s (ping:193ms)
115.120.226.128:22335 33.4KB/s (ping:193ms)
1.94.26.150:17988 1.6KB/s (ping:197ms)

# 失败统计 (3个):
# 218.1.137.233:9999 - 不可用
# 116.233.63.10:5555 - 不可用
# 124.77.220.45:4022 - 不可用
