# 北京市电信 IP速度测试结果 - 有效IP 10/12
# 测试时间: 2026-01-26 12:51:32
# IP:端口 速度 连接时间(ms)
115.171.216.84:4000 110.2KB/s (ping:179ms)
115.171.80.52:1688 110.0KB/s (ping:181ms)
49.232.181.26:6000 105.3KB/s (ping:179ms)
113.44.198.31:2082 35.9KB/s (ping:156ms)
123.249.85.64:8092 35.9KB/s (ping:159ms)
123.249.108.37:7100 35.9KB/s (ping:160ms)
113.44.160.132:3522 35.9KB/s (ping:155ms)
123.249.27.48:3689 35.8KB/s (ping:156ms)
123.249.111.29:7272 35.8KB/s (ping:156ms)
1.203.76.102:8899 17.9KB/s (ping:1171ms)

# 失败统计 (2个):
# 116.147.152.101:8118 - 不可用
# 111.192.228.68:4022 - 链接超时
