# 四川电信 IP速度测试结果 - 有效IP 7/14
# 测试时间: 2025-12-17 01:30:39
# IP:端口 速度 连接时间(ms)
171.88.144.65:4022 497.4KB/s (ping:250ms)
175.152.113.24:4022 488.4KB/s (ping:263ms)
171.213.174.78:5555 377.8KB/s (ping:1288ms)
175.152.251.104:4000 349.1KB/s (ping:240ms)
112.194.121.143:8888 255.6KB/s (ping:268ms)
171.213.198.245:8096 39.8KB/s (ping:250ms)
171.213.154.159:4022 21.0KB/s (ping:257ms)

# 失败统计 (7个):
# 118.120.182.145:9000 - 不可用
# 211.158.154.4:8010 - 不可用
# 171.213.223.148:4022 - 链接超时
# 171.213.179.96:4022 - 链接超时
# 118.122.34.143:8888 - 不可用
# 60.255.72.119:4022 - 链接错误
# 175.152.138.162:6066 - 链接超时
