# 广东电信 IP速度测试结果 - 有效IP 9/13
# 测试时间: 2026-01-03 01:39:01
# IP:端口 速度 连接时间(ms)
183.30.201.200:10002 107.7KB/s (ping:188ms)
14.112.100.72:4022 107.6KB/s (ping:191ms)
14.19.203.66:4022 107.3KB/s (ping:186ms)
119.135.192.194:10000 107.3KB/s (ping:188ms)
113.102.35.71:8880 106.5KB/s (ping:191ms)
116.21.204.108:9530 106.5KB/s (ping:184ms)
113.66.40.167:10000 105.6KB/s (ping:186ms)
115.45.243.189:8888 105.3KB/s (ping:191ms)
113.102.83.21:4022 100.0KB/s (ping:194ms)

# 失败统计 (4个):
# 183.233.194.219:10000 - HTTP错误
# 14.153.169.247:5555 - 不可用
# 14.153.165.69:5555 - 不可用
# 113.101.244.14:10000 - 链接超时
