# 江苏电信 IP速度测试结果 - 有效IP 117/117
# 测试时间: 2026-02-21 02:04:12
# IP:端口 速度 连接时间(ms)
49.77.102.196:8123 91.2KB/s (ping:246ms)
49.77.102.196:2435 90.5KB/s (ping:235ms)
221.227.108.206:8800 90.0KB/s (ping:231ms)
49.77.102.197:1200 89.4KB/s (ping:260ms)
49.77.102.197:1433 89.4KB/s (ping:230ms)
222.94.25.56:8888 89.1KB/s (ping:253ms)
49.77.103.70:9009 88.9KB/s (ping:255ms)
49.77.103.77:3306 88.9KB/s (ping:233ms)
49.77.102.196:5111 88.8KB/s (ping:231ms)
49.77.102.196:9418 88.8KB/s (ping:230ms)
49.77.103.70:2226 88.8KB/s (ping:238ms)
49.77.103.70:9801 88.7KB/s (ping:232ms)
49.77.102.196:8887 88.7KB/s (ping:253ms)
49.77.102.198:82 88.6KB/s (ping:257ms)
49.77.102.198:2224 88.4KB/s (ping:236ms)
49.77.102.196:6588 88.1KB/s (ping:225ms)
49.77.103.70:22 87.9KB/s (ping:239ms)
49.77.103.77:49668 87.9KB/s (ping:249ms)
49.77.102.197:28017 87.2KB/s (ping:231ms)
49.77.103.77:110 87.2KB/s (ping:241ms)
49.77.102.198:873 87.1KB/s (ping:246ms)
49.77.102.198:2638 87.1KB/s (ping:221ms)
49.77.103.70:111 86.9KB/s (ping:227ms)
49.77.102.196:8083 86.9KB/s (ping:229ms)
49.77.103.77:4782 86.9KB/s (ping:261ms)
49.77.102.198:6600 86.8KB/s (ping:243ms)
49.77.102.198:5601 86.8KB/s (ping:248ms)
121.230.235.129:8000 86.8KB/s (ping:258ms)
49.77.102.196:505 86.6KB/s (ping:245ms)
49.77.102.196:25010 86.5KB/s (ping:246ms)
49.77.103.70:636 86.3KB/s (ping:248ms)
49.77.102.198:3790 86.2KB/s (ping:241ms)
49.77.102.197:2638 86.1KB/s (ping:257ms)
49.77.102.197:5601 86.1KB/s (ping:238ms)
49.77.103.76:2226 86.0KB/s (ping:250ms)
49.77.102.196:51 85.9KB/s (ping:221ms)
49.77.102.197:8009 85.9KB/s (ping:1299ms)
49.77.102.197:88 85.5KB/s (ping:238ms)
49.77.102.196:111 85.5KB/s (ping:9999ms)
49.77.103.76:111 85.5KB/s (ping:220ms)
49.77.103.76:5597 85.4KB/s (ping:247ms)
49.77.102.197:2224 85.4KB/s (ping:240ms)
49.77.102.197:3443 85.3KB/s (ping:258ms)
49.77.102.196:27017 85.3KB/s (ping:1284ms)
49.74.72.204:8888 85.2KB/s (ping:258ms)
49.77.102.198:8443 85.2KB/s (ping:243ms)
49.77.102.196:2233 85.2KB/s (ping:224ms)
49.77.102.196:4505 85.1KB/s (ping:223ms)
49.77.103.76:7443 85.0KB/s (ping:242ms)
49.77.103.77:22 84.6KB/s (ping:253ms)
49.77.103.76:22 84.5KB/s (ping:1305ms)
49.77.102.197:7443 84.3KB/s (ping:257ms)
49.77.103.70:1433 84.2KB/s (ping:1252ms)
49.77.103.76:10443 84.1KB/s (ping:225ms)
49.77.102.198:28017 84.1KB/s (ping:226ms)
49.77.103.76:2435 84.0KB/s (ping:256ms)
