# 浙江电信 IP速度测试结果 - 有效IP 10/15
# 测试时间: 2026-01-04 12:40:32
# IP:端口 速度 连接时间(ms)
122.234.155.78:55555 103.7KB/s (ping:203ms)
122.233.172.148:8888 102.2KB/s (ping:195ms)
36.20.107.16:8888 101.9KB/s (ping:203ms)
125.105.136.38:4000 101.1KB/s (ping:198ms)
122.237.191.245:8888 100.8KB/s (ping:198ms)
122.230.225.121:8881 97.4KB/s (ping:198ms)
122.230.225.121:8888 97.0KB/s (ping:204ms)
115.204.179.179:9999 96.0KB/s (ping:208ms)
115.197.44.196:8000 94.9KB/s (ping:205ms)
183.141.15.10:9999 12.7KB/s (ping:222ms)

# 失败统计 (5个):
# 115.210.88.4:8888 - 链接错误
# 115.198.160.19:8888 - 不可用
# 115.206.206.240:8888 - 不可用
# 115.196.85.229:8888 - 不可用
# 115.206.206.190:8888 - 不可用
