
CCTV1,udp/239.93.0.184:5140
CCTV2,udp/239.93.1.23:6000
CCTV3,udp/239.93.1.11:2223
CCTV4,udp/239.93.1.105:5140
CCTV5,udp/239.93.42.37:5140
CCTV6,udp/239.93.1.13:2226
CCTV7,udp/239.93.1.67:5140
CCTV8,udp/239.93.42.39:5140
CCTV9,udp/239.93.1.24:5140
CCTV10,udp/239.93.1.28:5140
CCTV11,udp/239.93.0.102:5140
CCTV12,udp/239.93.1.30:8124
CCTV13,udp/239.93.0.66:5140
CCTV14,udp/239.93.1.29:6000
CCTV15,udp/239.93.0.103:5140
CCTV17,udp/239.93.0.92:5140
CCTV5+,udp/239.93.1.36:8004
高尔夫网球,udp/239.93.1.54:5140
怀旧剧场,udp/239.93.1.198:5140
第一剧场,udp/239.93.1.197:5140
风云剧场,udp/239.93.1.156:5140
CETV1,udp/239.93.1.111:5140

湖南卫视,udp/239.93.0.88:5140
江苏卫视,udp/239.93.0.89:5140
浙江卫视,udp/239.93.0.124:5140
东方卫视,udp/239.93.0.123:5140
北京卫视,udp/239.93.0.180:5140
深圳卫视,udp/239.93.0.182:5140
广东卫视,udp/239.93.0.181:5140
天津卫视,udp/239.93.0.167:5140
山东卫视,udp/239.93.0.168:5140
江西卫视,udp/239.93.0.134:5140
东南卫视,udp/239.93.0.42:5140
黑龙江卫视,udp/239.93.0.183:5140
重庆卫视,udp/239.93.1.107:5140
贵州卫视,udp/239.93.0.131:5140
湖北卫视,udp/239.93.0.250:5140
安徽卫视,udp/239.93.1.106:5140
河北卫视,udp/239.93.0.132:5140
辽宁卫视,udp/239.93.1.108:5140
云南卫视,udp/239.93.1.174:5140
河南卫视,udp/239.93.42.45:5140
广西卫视,udp/239.93.42.46:5140
云南卫视,udp/239.93.0.174:5140
吉林卫视,udp/239.93.0.248:5140
甘肃卫视,udp/239.93.0.81:5140
陕西卫视,udp/239.93.0.143:5140
四川卫视,udp/239.93.0.169:5140
康巴卫视,udp/239.93.0.41:5140

凤凰中文,udp/239.93.0.162:2192
凤凰资讯,udp/239.93.0.118:2191
星空卫视,udp/239.93.0.156:2193
CHANNEL-V,udp/239.93.0.157:2194
红色经典,udp/239.93.1.176:5140


四川影视文艺,udp/239.93.0.166:5140
四川经济频道,udp/239.93.1.101:5140
四川新闻频道,udp/239.93.0.47:5140
四川乡村频道,udp/239.93.0.52:5140
四川文化旅游,udp/239.93.1.102:5140
四川科教频道,udp/239.93.42.44:5140
四川峨眉电影,udp/239.93.0.252:5140
四川妇女儿童,udp/239.93.0.219:5140

成都综合频道,udp/239.93.0.16:5140
成都经济频道,udp/239.93.0.17:1239
成都生活频道,udp/239.93.0.18:1238
成都影视频道,udp/239.93.0.19:1250
成都公共频道,udp/239.93.1.231:5140
成都少儿频道,udp/239.93.0.21:1251
蓉城先锋,udp/239.93.0.91:2101

绚影4K,udp/239.93.42.33:5140
爱上4K,udp/239.93.0.97:5140
4K乐享超清,udp/239.93.0.43:5140
中录动漫4K,udp/239.93.1.188:5140
百视通华语影院,udp/239.93.0.138:5140
百视通星光院线,udp/239.93.0.139:5140
百视通全球大片,udp/239.93.0.105:5140
百视通热门剧场,udp/239.93.0.140:5140
百视通谍战剧场,udp/239.93.0.95:5140
百视通青春动漫,udp/239.93.0.146:5140
百视通宝宝动画,udp/239.93.0.147:5140
百视通热门综艺,udp/239.93.0.151:5140
百视通戏曲精选,udp/239.93.0.144:5140
百视通电竞天堂,udp/239.93.1.135:5140
iHOT爱浪漫,udp/239.93.42.21:5140
iHOT爱喜剧,udp/239.93.42.9:5140
iHOT爱奇谈,udp/239.93.42.22:5140
iHOT爱科幻,udp/239.93.42.10:5140
iHOT爱院线,udp/239.93.42.11:5140
iHOT爱谍战,udp/239.93.42.14:5140
iHOT爱历史,udp/239.93.42.13:5140
iHOT爱悬疑,udp/239.93.42.12:5140
iHOT爱都市,udp/239.93.42.15:5140
iHOT爱旅行,udp/239.93.42.16:5140
iHOT爱体育,udp/239.93.42.19:5140
iHOT爱赛车,udp/239.93.42.20:5140
iHOT爱动漫,udp/239.93.42.23:5140
iHOT爱幼教,udp/239.93.42.17:5140
iHOT爱玩具,udp/239.93.42.18:5140

上海都市剧场,udp/239.93.42.30:5140
上海纪实人文,udp/239.93.1.137:5140
上海生活时尚,udp/239.93.42.29:5140
上海东方财经,udp/239.93.1.165:5140
湖南快乐垂钓,udp/239.93.1.151:5140
湖南茶频道,udp/239.93.0.114:5140

求索频道,udp/239.93.42.24:5140
i成都,udp/239.93.1.104:1234
亲子趣学4K,udp/239.93.1.191:5140
少儿天地,udp/239.93.42.34:5140
爱宠宠物,udp/239.93.42.32:5140
来钓鱼吧,udp/239.93.42.8:5140
麻辣体育,udp/239.93.42.2:5140
熊猫体娱,udp/239.93.0.94:5140
熊猫少儿,udp/239.93.1.189:5140
熊猫影院,udp/239.93.0.214:5140
熊猫卡通,udp/239.93.1.172:5140
熊猫频道,udp/239.93.0.211:9148
熊猫24小时,udp/239.93.1.178:5140
收视导视,udp/239.93.1.39:5140
熊猫爱生活,udp/239.93.1.190:5140
大爱四川,udp/239.93.1.110:5140
大爱旅游,udp/239.93.42.70:5140
大爱生活,udp/239.93.42.71:5140
大爱时尚,udp/239.93.42.72:5140
天元围棋,udp/239.93.42.55:5140
乐龄学堂,udp/239.93.1.179:5140

CGTN英语,udp/239.93.0.104:5140
CGTN西班牙语,udp/239.93.42.49:5140
CGTN法语,udp/239.93.42.50:5140
