其他频道,#genre#
IPTV热播剧场,http://119.129.172.28:9999/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
嘉佳卡通,http://119.129.172.28:9999/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
嘉佳卡通,http://119.129.172.50:9999/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://119.129.172.28:9999/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://119.129.172.232:9999/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://119.129.172.50:9999/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
广东公共,http://119.129.172.232:9999/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
广东公共,http://119.129.172.50:9999/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
广东公共,http://119.129.172.28:9999/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
广东少儿,http://119.129.172.50:9999/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
广东少儿,http://119.129.172.28:9999/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
广东少儿,http://119.129.172.232:9999/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
广东新闻,http://119.129.172.28:9999/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
广东新闻,http://119.129.172.50:9999/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
广东新闻,http://119.129.172.232:9999/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
广东珠江,http://119.129.172.232:9999/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
广东珠江,http://119.129.172.28:9999/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
广东珠江,http://119.129.172.50:9999/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
新科动漫,http://119.129.172.50:9999/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
新科动漫,http://119.129.172.28:9999/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
新科动漫,http://119.129.172.232:9999/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
新闻,http://171.8.138.151:85/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
梨园,http://171.8.138.151:85/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
民生,http://171.8.138.151:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
法制,http://171.8.138.151:85/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
湖南公共,http://223.159.8.222:8099/tsfile/live/1003_1.m3u8?key=txiptv&playlive=0&authid=0
湖南国际,http://223.159.8.222:8099/tsfile/live/1007_1.m3u8?key=txiptv&playlive=0&authid=0
湖南娱乐,http://223.159.8.222:8099/tsfile/live/1000_1.m3u8?key=txiptv&playlive=0&authid=0
湖南教育,http://223.159.8.222:8099/tsfile/live/1008_1.m3u8?key=txiptv&playlive=0&authid=0
湖南电影,http://223.159.8.222:8099/tsfile/live/1001_1.m3u8?key=txiptv&playlive=0&authid=0
湖南电视剧,http://223.159.8.222:8099/tsfile/live/1004_1.m3u8?key=txiptv&playlive=0&authid=0
湖南经视,http://223.159.8.222:8099/tsfile/live/1006_1.m3u8?key=txiptv&playlive=0&authid=0
湖南都市,http://223.159.8.222:8099/tsfile/live/1002_1.m3u8?key=txiptv&playlive=0&authid=0
移动戏曲,http://171.8.138.151:85/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
都市,http://171.8.138.151:85/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通,http://119.129.172.28:9999/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通,http://119.129.172.50:9999/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通,http://119.129.172.232:9999/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通,http://223.159.8.222:8099/tsfile/live/1005_1.m3u8?key=txiptv&playlive=0&authid=0
金鹰纪实,http://223.159.8.222:8099/tsfile/live/1009_1.m3u8?key=txiptv&playlive=0&authid=0
2024-11-10更新,#genre#
