央视,#genre#
CCTV1,http://110.72.71.96:808/hls/54/index.m3u8
CCTV2,http://110.72.71.96:808/hls/97/index.m3u8
CCTV3,http://110.72.71.96:808/hls/37/index.m3u8
CCTV4,http://110.72.71.96:808/hls/113/index.m3u8
CCTV5,http://110.72.71.96:808/hls/38/index.m3u8
CCTV6,http://110.72.71.96:808/hls/39/index.m3u8
CCTV7,http://110.72.71.96:808/hls/98/index.m3u8
CCTV8,http://110.72.71.96:808/hls/40/index.m3u8
CCTV9,http://110.72.71.96:808/hls/119/index.m3u8
CCTV10,http://110.72.71.96:808/hls/99/index.m3u8
CCTV11,http://110.72.71.96:808/hls/100/index.m3u8
CCTV12,http://110.72.71.96:808/hls/101/index.m3u8
CCTV13,http://110.72.71.96:808/hls/106/index.m3u8
CCTV14,http://110.72.71.96:808/hls/105/index.m3u8
CCTV15,http://110.72.71.96:808/hls/102/index.m3u8
CCTV7,http://110.72.71.96:808/hls/5/index.m3u8
CCTV5+,http://110.72.71.96:808/hls/14/index.m3u8
CCTV娱乐,http://110.72.71.96:808/hls/66/index.m3u8
CCTV9,http://110.72.71.96:808/hls/119/index.m3u8
CCTV5,http://110.72.71.96:808/hls/38/index.m3u8
CCTV6,http://110.72.71.96:808/hls/39/index.m3u8
CCTV8,http://110.72.71.96:808/hls/40/index.m3u8
CCTV1,http://110.72.71.96:808/hls/54/index.m3u8
CCTV7,http://110.72.71.96:808/hls/98/index.m3u8
CCTV12,http://110.72.71.96:808/hls/101/index.m3u8
CCTV1,http://110.72.66.173:808/hls/54/index.m3u8
CCTV2,http://110.72.66.173:808/hls/97/index.m3u8
CCTV3,http://110.72.66.173:808/hls/37/index.m3u8
CCTV4,http://110.72.66.173:808/hls/113/index.m3u8
CCTV5,http://110.72.66.173:808/hls/38/index.m3u8
CCTV6,http://110.72.66.173:808/hls/39/index.m3u8
CCTV7,http://110.72.66.173:808/hls/98/index.m3u8
CCTV8,http://110.72.66.173:808/hls/40/index.m3u8
CCTV9,http://110.72.66.173:808/hls/119/index.m3u8
