爱看mg,#genre#
cctv1,http://103.45.68.47:666/gy/gy_tZIcnR/爱看mg.php?id=cctv1
cctv1b,http://103.45.68.47:666/gy/gy_tZIcnR/爱看mg.php?id=cctv1b
cctv2,http://103.45.68.47:666/gy/gy_tZIcnR/爱看mg.php?id=cctv2
cctv3,http://103.45.68.47:666/gy/gy_tZIcnR/爱看mg.php?id=cctv3
cctv4,http://103.45.68.47:666/gy/gy_tZIcnR/爱看mg.php?id=cctv4
cctv4欧洲,http://103.45.68.47:666/gy/gy_tZIcnR/爱看mg.php?id=cctv4欧洲
cctv4美洲,http://103.45.68.47:666/gy/gy_tZIcnR/爱看mg.php?id=cctv4美洲
cctv5,http://103.45.68.47:666/gy/gy_tZIcnR/爱看mg.php?id=cctv5
cctv5b,http://103.45.68.47:666/gy/gy_tZIcnR/爱看mg.php?id=cctv5b
cctv5p,http://103.45.68.47:666/gy/gy_tZIcnR/爱看mg.php?id=cctv5p
cctv5p2,http://103.45.68.47:666/gy/gy_tZIcnR/爱看mg.php?id=cctv5p2
cctv6,http://103.45.68.47:666/gy/gy_tZIcnR/爱看mg.php?id=cctv6
cctv7,http://103.45.68.47:666/gy/gy_tZIcnR/爱看mg.php?id=cctv7
cctv8,http://103.45.68.47:666/gy/gy_tZIcnR/爱看mg.php?id=cctv8
cctv9,http://103.45.68.47:666/gy/gy_tZIcnR/爱看mg.php?id=cctv9
cctv10,http://103.45.68.47:666/gy/gy_tZIcnR/爱看mg.php?id=cctv10
cctv11,http://103.45.68.47:666/gy/gy_tZIcnR/爱看mg.php?id=cctv11
cctv12,http://103.45.68.47:666/gy/gy_tZIcnR/爱看mg.php?id=cctv12
cctv13,http://103.45.68.47:666/gy/gy_tZIcnR/爱看mg.php?id=cctv13
cctv14,http://103.45.68.47:666/gy/gy_tZIcnR/爱看mg.php?id=cctv14
cctv15,http://103.45.68.47:666/gy/gy_tZIcnR/爱看mg.php?id=cctv15
cctv17,http://103.45.68.47:666/gy/gy_tZIcnR/爱看mg.php?id=cctv17
CGTN西语,http://103.45.68.47:666/gy/gy_tZIcnR/爱看mg.php?id=CGTN西语
CGTN阿语,http://103.45.68.47:666/gy/gy_tZIcnR/爱看mg.php?id=CGTN阿语
CHC家庭影院,http://103.45.68.47:666/gy/gy_tZIcnR/爱看mg.php?id=CHC家庭影院
北京卫视HD,http://103.45.68.47:666/gy/gy_tZIcnR/爱看mg.php?id=北京卫视HD
东方卫视HD,http://103.45.68.47:666/gy/gy_tZIcnR/爱看mg.php?id=东方卫视HD
东方卫视HD2,http://103.45.68.47:666/gy/gy_tZIcnR/爱看mg.php?id=东方卫视HD2
重庆卫视,http://103.45.68.47:666/gy/gy_tZIcnR/爱看mg.php?id=重庆卫视
吉林卫视,http://103.45.68.47:666/gy/gy_tZIcnR/爱看mg.php?id=吉林卫视
辽宁卫视HD,http://103.45.68.47:666/gy/gy_tZIcnR/爱看mg.php?id=辽宁卫视HD
内蒙古卫视,http://103.45.68.47:666/gy/gy_tZIcnR/爱看mg.php?id=内蒙古卫视
宁夏卫视,http://103.45.68.47:666/gy/gy_tZIcnR/爱看mg.php?id=宁夏卫视
甘肃卫视,http://103.45.68.47:666/gy/gy_tZIcnR/爱看mg.php?id=甘肃卫视
青海卫视,http://103.45.68.47:666/gy/gy_tZIcnR/爱看mg.php?id=青海卫视
陕西卫视HD,http://103.45.68.47:666/gy/gy_tZIcnR/爱看mg.php?id=陕西卫视HD
山东卫视HD,http://103.45.68.47:666/gy/gy_tZIcnR/爱看mg.php?id=山东卫视HD
湖北卫视HD,http://103.45.68.47:666/gy/gy_tZIcnR/爱看mg.php?id=湖北卫视HD
湖南卫视HD,http://103.45.68.47:666/gy/gy_tZIcnR/爱看mg.php?id=湖南卫视HD
江西卫视HD,http://103.45.68.47:666/gy/gy_tZIcnR/爱看mg.php?id=江西卫视HD
