👉扫码添加售后微信👈,#genre#
👉扫码添加唯一微信👈,https://cloud.lxweb.cn/f/W6OOfB/WXSP.mp4
👉获取最新链接👈,https://cloud.lxweb.cn/f/W6OOfB/WXSP.mp4
👉不加微信没有售后👈,https://cloud.lxweb.cn/f/W6OOfB/WXSP.mp4
👉其他渠道不回复👈,https://cloud.lxweb.cn/f/W6OOfB/WXSP.mp4
👉只接受微信信息👈,https://cloud.lxweb.cn/f/W6OOfB/WXSP.mp4
👉唯一微信:Cxx114x👈,https://cloud.lxweb.cn/f/W6OOfB/WXSP.mp4

👉获取最新链接👈,#genre#
👉获取最新链接👈,https://cloud.lxweb.cn/f/W6OOfB/WXSP.mp4
👉不加微信没有售后👈,#genre#
👉不加微信没有售后👈,https://cloud.lxweb.cn/f/W6OOfB/WXSP.mp4
👉其他渠道不回复👈,#genre#
👉其他渠道不回复👈,https://cloud.lxweb.cn/f/W6OOfB/WXSP.mp4
👉只接受微信信息👈,#genre#
👉只接受微信信息👈,https://cloud.lxweb.cn/f/W6OOfB/WXSP.mp4
👉唯一微信:Cxx114x👈,#genre#
👉唯一微信:Cxx114x👈,https://cloud.lxweb.cn/f/W6OOfB/WXSP.mp4


🦄独家线路🐯,#genre#
👉卡顿请切换其他线路👈,https://cloud.lxweb.cn/f/9qgnS1/4.MOV
👉选择流畅的线路观看👈,https://cloud.lxweb.cn/f/9qgnS1/4.MOV
CCTV1,http://biaozhun114.com/tv/ysp.php?id=1
CCTV2,http://biaozhun114.com/tv/ysp.php?id=2
CCTV3,http://biaozhun114.com/tv/ysp.php?id=3
CCTV4,http://biaozhun114.com/tv/ysp.php?id=4
CCTV5,http://biaozhun114.com/tv/ysp.php?id=5
CCTV5+,http://biaozhun114.com/tv/ysp.php?id=6
CCTV6,http://biaozhun114.com/tv/ysp.php?id=7
CCTV6,http://biaozhun114.com/tv/ysp.php?id=8
CCTV7,http://biaozhun114.com/tv/ysp.php?id=9
CCTV8,http://biaozhun114.com/tv/ysp.php?id=10
CCTV9,http://biaozhun114.com/tv/ysp.php?id=11
CCTV10,http://biaozhun114.com/tv/ysp.php?id=12
CCTV11,http://biaozhun114.com/tv/ysp.php?id=13
CCTV12,http://biaozhun114.com/tv/ysp.php?id=14
CCTV13,http://biaozhun114.com/tv/ysp.php?id=15
CCTV14,http://biaozhun114.com/tv/ysp.php?id=16
CCTV15,http://biaozhun114.com/tv/ysp.php?id=17
CCTV16,http://biaozhun114.com/tv/ysp.php?id=18
CCTV16,http://biaozhun114.com/tv/ysp.php?id=19
CCTV17,http://biaozhun114.com/tv/ysp.php?id=20
CCTV4K,http://biaozhun114.com/tv/ysp.php?id=21
CCTV8K,http://biaozhun114.com/tv/ysp.php?id=22

CCTV1,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576803.m3u8
CCTV2,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576703.m3u8
CCTV3,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576503.m3u8
CCTV4,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576603.m3u8
CCTV5,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576403.m3u8
CCTV5+,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576303.m3u8
CCTV6,http://183.204.13.13/1.v.smtcdns.net/mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8
CCTV6,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022574303.m3u8
CCTV7,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576203.m3u8
CCTV8,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576103.m3u8
CCTV9,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576003.m3u8
CCTV10,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022573001.m3u8
CCTV11,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575903.m3u8
CCTV12,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575803.m3u8
CCTV13,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575703.m3u8
CCTV14,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575603.m3u8
CCTV15,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575503.m3u8
CCTV16,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575403.m3u8
CCTV16,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575103.m3u8
CCTV17,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575303.m3u8
CCTV4K,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575203.m3u8
CCTV8K,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2020603421.m3u8

CCTV1,http://111.230.30.193/php/lyd.php?id=6559
CCTV2,http://111.230.30.193/php/lyd.php?id=6540
CCTV3,http://111.230.30.193/php/lyd.php?id=6021
CCTV4,http://111.230.30.193/php/lyd.php?id=6428
CCTV5,http://111.230.30.193/php/lyd.php?id=6469
CCTV5+,http://111.230.30.193/php/lyd.php?id=5603
CCTV6,http://111.230.30.193/php/lyd.php?id=6010
CCTV7,http://111.230.30.193/php/lyd.php?id=5733
CCTV8,http://111.230.30.193/php/lyd.php?id=6008
CCTV9,http://111.230.30.193/php/lyd.php?id=5734
CCTV10,http://111.230.30.193/php/lyd.php?id=6473
CCTV11,http://111.230.30.193/php/lyd.php?id=6565
CCTV12,http://111.230.30.193/php/lyd.php?id=6568
CCTV13,http://111.230.30.193/php/lyd.php?id=6571
CCTV14,http://111.230.30.193/php/lyd.php?id=6591
CCTV15,http://111.230.30.193/php/lyd.php?id=6476
CCTV16,http://111.230.30.193/php/lyd.php?id=6100
CCTV17,http://111.230.30.193/php/lyd.php?id=5765

CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226419/index.m3u8
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV11,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV15,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8

CCTV1,http://39.134.66.66/PLTV/88888888/224/3221225816/index.m3u8
CCTV2,http://39.134.66.66/PLTV/88888888/224/3221225599/index.m3u8
CCTV3,http://39.134.66.66/PLTV/88888888/224/3221225799/index.m3u8
CCTV4,http://39.134.66.66/PLTV/88888888/224/3221225797/index.m3u8
CCTV5,http://39.134.66.66/PLTV/88888888/224/3221225818/index.m3u8
CCTV5+,http://39.134.66.66/PLTV/88888888/224/3221225507/index.m3u8
CCTV6,http://39.134.66.66/PLTV/88888888/224/3221225814/index.m3u8
CCTV7,http://39.134.66.66/PLTV/88888888/224/3221225671/index.m3u8
CCTV8,http://39.134.66.66/PLTV/88888888/224/3221225795/index.m3u8
CCTV9,http://39.134.66.66/PLTV/88888888/224/3221225676/index.m3u8
CCTV10,http://39.134.66.66/PLTV/88888888/224/3221225677/index.m3u8
CCTV11,http://39.134.66.66/PLTV/88888888/224/3221225517/index.m3u8
CCTV12,http://39.134.66.66/PLTV/88888888/224/3221225669/index.m3u8
CCTV13,http://39.134.66.66/PLTV/88888888/224/3221225812/index.m3u8
CCTV14,http://39.134.66.66/PLTV/88888888/224/3221225674/index.m3u8
CCTV15,http://39.134.66.66/PLTV/88888888/224/3221225513/index.m3u8
CCTV17,http://39.134.66.66/PLTV/88888888/224/3221225708/index.m3u8

CCTV1,http://hbyxmlg.picp.io:8088/tsfile/live/0001_1.m3u8
CCTV2,http://hbyxmlg.picp.io:8088/tsfile/live/0002_1.m3u8
CCTV3,http://hbyxmlg.picp.io:8088/tsfile/live/0003_1.m3u8
CCTV4,http://hbyxmlg.picp.io:8088/tsfile/live/0004_1.m3u8
CCTV5,http://hbyxmlg.picp.io:8088/tsfile/live/0005_1.m3u8
CCTV6,http://hbyxmlg.picp.io:8088/tsfile/live/0006_1.m3u8
CCTV7,http://hbyxmlg.picp.io:8088/tsfile/live/0007_1.m3u8
CCTV8,http://hbyxmlg.picp.io:8088/tsfile/live/0008_1.m3u8
CCTV9,http://hbyxmlg.picp.io:8088/tsfile/live/0009_1.m3u8
CCTV10,http://hbyxmlg.picp.io:8088/tsfile/live/0010_1.m3u8
CCTV11,http://hbyxmlg.picp.io:8088/tsfile/live/0011_1.m3u8
CCTV12,http://hbyxmlg.picp.io:8088/tsfile/live/0012_1.m3u8
CCTV13,http://hbyxmlg.picp.io:8088/tsfile/live/0013_1.m3u8
CCTV14,http://hbyxmlg.picp.io:8088/tsfile/live/0014_1.m3u8
CCTV15,http://hbyxmlg.picp.io:8088/tsfile/live/0015_1.m3u8

CCTV1,http://1.195.111.251:11190/tsfile/live/0001_1.m3u8
CCTV2,http://1.195.111.251:11190/tsfile/live/0002_1.m3u8
CCTV3,http://1.195.111.251:11190/tsfile/live/0003_1.m3u8
CCTV4,http://1.195.111.251:11190/tsfile/live/0004_1.m3u8
CCTV5,http://1.195.111.251:11190/tsfile/live/0005_1.m3u8
CCTV6,http://1.195.111.251:11190/tsfile/live/0006_1.m3u8
CCTV7,http://1.195.111.251:11190/tsfile/live/0007_1.m3u8
CCTV8,http://1.195.111.251:11190/tsfile/live/0008_1.m3u8
CCTV9,http://1.195.111.251:11190/tsfile/live/0009_1.m3u8
CCTV10,http://1.195.111.251:11190/tsfile/live/0010_1.m3u8
CCTV11,http://1.195.111.251:11190/tsfile/live/0011_1.m3u8
CCTV12,http://1.195.111.251:11190/tsfile/live/0012_1.m3u8
CCTV13,http://1.195.111.251:11190/tsfile/live/0013_1.m3u8
CCTV14,http://1.195.111.251:11190/tsfile/live/0014_1.m3u8
CCTV15,http://1.195.111.251:11190/tsfile/live/0015_1.m3u8

北京卫视,http://biaozhun114.com/tv/ysp.php?id=43
东方卫视,http://biaozhun114.com/tv/ysp.php?id=44
天津卫视,http://biaozhun114.com/tv/ysp.php?id=45
重庆卫视,http://biaozhun114.com/tv/ysp.php?id=46
黑龙江卫视,http://biaozhun114.com/tv/ysp.php?id=47
辽宁卫视,http://biaozhun114.com/tv/ysp.php?id=48
河北卫视,http://biaozhun114.com/tv/ysp.php?id=49
山东卫视,http://biaozhun114.com/tv/ysp.php?id=50
安徽卫视,http://biaozhun114.com/tv/ysp.php?id=51
河南卫视,http://biaozhun114.com/tv/ysp.php?id=52
湖北卫视,http://biaozhun114.com/tv/ysp.php?id=53
湖南卫视,http://biaozhun114.com/tv/ysp.php?id=54
江西卫视,http://biaozhun114.com/tv/ysp.php?id=55
江苏卫视,http://biaozhun114.com/tv/ysp.php?id=56
浙江卫视,http://biaozhun114.com/tv/ysp.php?id=57
东南卫视,http://biaozhun114.com/tv/ysp.php?id=58
广东卫视,http://biaozhun114.com/tv/ysp.php?id=59
深圳卫视,http://biaozhun114.com/tv/ysp.php?id=60
广西卫视,http://biaozhun114.com/tv/ysp.php?id=61
贵州卫视,http://biaozhun114.com/tv/ysp.php?id=62
四川卫视,http://biaozhun114.com/tv/ysp.php?id=63
新疆卫视,http://biaozhun114.com/tv/ysp.php?id=64
海南卫视,http://biaozhun114.com/tv/ysp.php?id=65
兵团卫视,http://biaozhun114.com/tv/ysp.php?id=66

北京卫视,http://tvbox.mohuajz.eu.org/tv/ysp.php?id=43
东方卫视,http://tvbox.mohuajz.eu.org/tv/ysp.php?id=44
天津卫视,http://tvbox.mohuajz.eu.org/tv/ysp.php?id=45
重庆卫视,http://tvbox.mohuajz.eu.org/tv/ysp.php?id=46
黑龙江卫视,http://tvbox.mohuajz.eu.org/tv/ysp.php?id=47
辽宁卫视,http://tvbox.mohuajz.eu.org/tv/ysp.php?id=48
河北卫视,http://tvbox.mohuajz.eu.org/tv/ysp.php?id=49
山东卫视,http://tvbox.mohuajz.eu.org/tv/ysp.php?id=50
安徽卫视,http://tvbox.mohuajz.eu.org/tv/ysp.php?id=51
河南卫视,http://tvbox.mohuajz.eu.org/tv/ysp.php?id=52
湖北卫视,http://tvbox.mohuajz.eu.org/tv/ysp.php?id=53
湖南卫视,http://tvbox.mohuajz.eu.org/tv/ysp.php?id=54
江西卫视,http://tvbox.mohuajz.eu.org/tv/ysp.php?id=55
江苏卫视,http://tvbox.mohuajz.eu.org/tv/ysp.php?id=56
浙江卫视,http://tvbox.mohuajz.eu.org/tv/ysp.php?id=57
东南卫视,http://tvbox.mohuajz.eu.org/tv/ysp.php?id=58
广东卫视,http://tvbox.mohuajz.eu.org/tv/ysp.php?id=59
深圳卫视,http://tvbox.mohuajz.eu.org/tv/ysp.php?id=60
广西卫视,http://tvbox.mohuajz.eu.org/tv/ysp.php?id=61
贵州卫视,http://tvbox.mohuajz.eu.org/tv/ysp.php?id=62
四川卫视,http://tvbox.mohuajz.eu.org/tv/ysp.php?id=63
新疆卫视,http://tvbox.mohuajz.eu.org/tv/ysp.php?id=64
海南卫视,http://tvbox.mohuajz.eu.org/tv/ysp.php?id=65
兵团卫视,http://tvbox.mohuajz.eu.org/tv/ysp.php?id=66

北京卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000272103.m3u8
东方卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000292403.m3u8
