📺央视频道,#genre#
CCTV1综合,http://mg.cttv.vip/608807420
CCTV2财经,http://mg.cttv.vip/631780532
CCTV3综艺,http://mg.cttv.vip/624878271
CCTV4中文国际,http://mg.cttv.vip/631780421
CCTV5体育,http://mg.cttv.vip/641886683
CCTV5+体育赛事,http://mg.cttv.vip/641886773
CCTV6电影,http://mg.cttv.vip/624878396
CCTV7国防军事,http://mg.cttv.vip/673168121
CCTV8电视剧,http://mg.cttv.vip/624878356
CCTV9纪录,http://mg.cttv.vip/673168140
CCTV10科教,http://mg.cttv.vip/624878405
CCTV11戏曲,http://mg.cttv.vip/667987558
CCTV12社会与法,http://mg.cttv.vip/673168185
CCTV13新闻,http://mg.cttv.vip/608807423
CCTV14少儿,http://mg.cttv.vip/624878440
CCTV15音乐,http://mg.cttv.vip/673168223
CCTV17农业农村,http://mg.cttv.vip/673168256

CHC家庭影院,http://mg.cttv.vip/644368373
CHC动作电影,http://mg.cttv.vip/644368714
CETV-1,http://mg.cttv.vip/923287154
CETV-2,http://mg.cttv.vip/923287211
CETV-4,http://mg.cttv.vip/923287339

CHC家庭影院,http://yemingjkl.x3322.net:35455/644368373
CHC动作电影,http://yemingjkl.x3322.net:35455/644368714
CETV-1,http://yemingjkl.x3322.net:35455/923287154
CETV-2,http://yemingjkl.x3322.net:35455/923287211
CETV-4,http://yemingjkl.x3322.net:35455/923287339

cctv16,http://mg.cttv.vip/nptv/cctv16
cctv4k,http://mg.cttv.vip/nptv/cctv4k
cctv8k,http://mg.cttv.vip/nptv/cctv8k

📺卫视频道,#genre#
东方卫视,http://mg.cttv.vip/651632648
江苏卫视,http://mg.cttv.vip/623899368
广东卫视,http://mg.cttv.vip/608831231
江西卫视,http://mg.cttv.vip/783847495
河南卫视,http://mg.cttv.vip/790187291
陕西卫视,http://mg.cttv.vip/738910838
大湾区卫视,http://mg.cttv.vip/608917627
湖北卫视,http://mg.cttv.vip/947472496
吉林卫视,http://mg.cttv.vip/947472500
青海卫视,http://mg.cttv.vip/947472506
东南卫视,http://mg.cttv.vip/849116810
海南卫视,http://mg.cttv.vip/947472502
海峡卫视,http://mg.cttv.vip/849119120

北京卫视,http://mg.cttv.vip/nptv/beijing
湖南卫视,http://mg.cttv.vip/nptv/hunan
江苏卫视,http://mg.cttv.vip/nptv/jiangsu
东方卫视,http://mg.cttv.vip/nptv/dongfang
浙江卫视,http://mg.cttv.vip/nptv/zhejiang
湖北卫视,http://mg.cttv.vip/nptv/hubei
天津卫视,http://mg.cttv.vip/nptv/tianjing
山东卫视,http://mg.cttv.vip/nptv/shandong
辽宁卫视,http://mg.cttv.vip/nptv/liaoning
安徽卫视,http://mg.cttv.vip/nptv/anhui
黑龙江卫视,http://mg.cttv.vip/nptv/heilongjiang
贵州卫视,http://mg.cttv.vip/nptv/guizhou
东南卫视,http://mg.cttv.vip/nptv/dongnan
重庆卫视,http://mg.cttv.vip/nptv/chongqing
江西卫视,http://mg.cttv.vip/nptv/jiangxi
广东卫视,http://mg.cttv.vip/nptv/guangdong
河北卫视,http://mg.cttv.vip/nptv/hebei
深圳卫视,http://mg.cttv.vip/nptv/shenzheng
吉林卫视,http://mg.cttv.vip/nptv/jiling
河南卫视,http://mg.cttv.vip/nptv/henan
四川卫视,http://mg.cttv.vip/nptv/sichuan
河北卫视,http://mg.cttv.vip/nptv/hebei
广西卫视,http://mg.cttv.vip/nptv/guangxi
陕西卫视,http://mg.cttv.vip/nptv/shanxiws
山西卫视,http://mg.cttv.vip/nptv/shanxi
内蒙古卫视,http://mg.cttv.vip/nptv/neimenggu
青海卫视,http://mg.cttv.vip/nptv/qinghai
海南卫视,http://mg.cttv.vip/nptv/hainan
宁夏卫视,http://mg.cttv.vip/nptv/ningxia
西藏卫视,http://mg.cttv.vip/nptv/xizang
新疆卫视,http://mg.cttv.vip/nptv/xinjiang
甘肃卫视,http://mg.cttv.vip/nptv/gansu
云南卫视,http://mg.cttv.vip/nptv/yunnan
兵团卫视,https://liveout.btzx.com.cn/62ds9e/yil08g


