陈慧娴,#genre#
陈慧娴-黎明不要来演唱会,http://em.21dtv.com/songs/60026831.mkv
陈慧娴-明日有明天演唱会,http://em.21dtv.com/songs/60030151.mkv
陈慧娴-让一切随风,http://em.21dtv.com/songs/60100587.mkv
陈慧娴-傻女演唱会,http://em.21dtv.com/songs/60037531.mkv
陈慧娴-逝去的诺言演唱会,http://em.21dtv.com/songs/60039551.mkv
陈瑞,#genre#
陈瑞+张津涤-只爱一个你,http://em.21dtv.com/songs/60138214.mkv
陈瑞+赵鑫-不是萍水不相逢,http://em.21dtv.com/songs/60138215.mkv
陈瑞-爱的痕迹,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_1218815&response=res&format=mp4&type=convert_url
陈瑞-爱得真伤的深,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_1218839&response=res&format=mp4&type=convert_url
陈瑞-别思,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_3429064&response=res&format=mp4&type=convert_url
陈瑞-不是我不温柔,http://em.21dtv.com/songs/60144133.mkv
陈瑞-猜心,http://em.21dtv.com/songs/60144324.mkv
陈瑞-曾经是我的最爱的女人,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_486357&response=res&format=mp4&type=convert_url
陈瑞-曾有一个人,http://em.21dtv.com/songs/60144317.mkv
陈瑞-尘缘,http://em.21dtv.com/songs/60144310.mkv
陈瑞-抽烟的女人,http://em.21dtv.com/songs/60144316.mkv
陈瑞-分手了别来打扰我,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_5835684&response=res&format=mp4&type=convert_url
陈瑞-父亲,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_4247454&response=res&format=mp4&type=convert_url
陈瑞-恨你爱我又放手,http://em.21dtv.com/songs/60139236.mkv
陈瑞-红尘永相伴,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_506435&response=res&format=mp4&type=convert_url
陈瑞-怀爱不遇,http://em.21dtv.com/songs/60139235.mkv
陈瑞-今夜你会在哪里,http://em.21dtv.com/songs/60144307.mkv
陈瑞-泪洒爱琴海,http://em.21dtv.com/songs/60144322.mkv
陈瑞-恋人泪,http://em.21dtv.com/songs/60144312.mkv
陈瑞-流星泪,http://em.21dtv.com/songs/60144323.mkv
陈瑞-没有,http://em.21dtv.com/songs/60144320.mkv
陈瑞-没有人比你更爱我,http://em.21dtv.com/songs/60144321.mkv
陈瑞-母亲的期待,http://em.21dtv.com/songs/60144319.mkv
陈瑞-男人酒女人泪,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_40090112&response=res&format=mp4&type=convert_url
陈瑞-你情我怨,http://em.21dtv.com/songs/60144134.mkv
陈瑞-你是我生命的传奇,http://em.21dtv.com/songs/60144308.mkv
陈瑞-情人节的玫瑰,http://em.21dtv.com/songs/60144313.mkv
陈瑞-秋日私语,http://em.21dtv.com/songs/60138213.mkv
陈瑞-让爱结束在最美的时候,http://em.21dtv.com/songs/60144326.mkv
陈瑞-三生三世,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_6449820&response=res&format=mp4&type=convert_url
陈瑞-太阳的眼泪太阳雨,http://em.21dtv.com/songs/60144309.mkv
陈瑞-天长地久,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_1583220&response=res&format=mp4&type=convert_url
陈瑞-退路,http://em.21dtv.com/songs/60144327.mkv
陈瑞-我不再是你最疼爱的人,http://em.21dtv.com/songs/60144315.mkv
陈瑞-五百年情缘,http://em.21dtv.com/songs/60144306.mkv
陈瑞-相伴有你,http://em.21dtv.com/songs/60144325.mkv
陈瑞-想你总在多年以后,http://em.21dtv.com/songs/60144314.mkv
陈瑞-心中的牵挂,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_1583211&response=res&format=mp4&type=convert_url
陈瑞-心中的牵挂,http://em.21dtv.com/songs/60144311.mkv
陈瑞-一辈子的真爱,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_28470656&response=res&format=mp4&type=convert_url
陈瑞-一个人的情人节,http://em.21dtv.com/songs/60144305.mkv
陈瑞-一生的等待,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_1583215&response=res&format=mp4&type=convert_url
陈瑞-隐居,http://em.21dtv.com/songs/60146815.mkv
陈瑞-有多少爱可以辜负,http://em.21dtv.com/songs/60146814.mkv
陈瑞-有谁知道我在等你,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_1583218&response=res&format=mp4&type=convert_url
陈瑞-鱼和水的故事,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_353501&response=res&format=mp4&type=convert_url
陈瑞-月光下等待,http://em.21dtv.com/songs/60144318.mkv
陈瑞-烛光里的妈妈,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_1024266&response=res&format=mp4&type=convert_url
陈瑞-醉后之夜,http://em.21dtv.com/songs/60144328.mkv
凤凰传奇,#genre#
凤凰传奇-策马奔腾[853*480],http://antiserver.kuwo.cn/anti.s?rid=MUSIC_24042013&response=res&format=mp4&type=convert_url
凤凰传奇-光芒[853*480],http://antiserver.kuwo.cn/anti.s?rid=MUSIC_24042019&response=res&format=mp4&type=convert_url
凤凰传奇-荷塘月色[569*320],http://antiserver.kuwo.cn/anti.s?rid=MUSIC_1565837&response=res&format=mp4&type=convert_url
凤凰传奇-华夏传说[568*320],http://antiserver.kuwo.cn/anti.s?rid=MUSIC_40828850&response=res&format=mp4&type=convert_url
凤凰传奇-今生的缘[320*212],http://antiserver.kuwo.cn/anti.s?rid=MUSIC_646024&response=res&format=mp4&type=convert_url
凤凰传奇-奇迹世界[480*320],http://antiserver.kuwo.cn/anti.s?rid=MUSIC_954805&response=res&format=mp4&type=convert_url
凤凰传奇-奢香夫人[569*320],http://antiserver.kuwo.cn/anti.s?rid=MUSIC_51674527&response=res&format=mp4&type=convert_url
凤凰传奇-温柔姑娘[569*320],http://antiserver.kuwo.cn/anti.s?rid=MUSIC_6401404&response=res&format=mp4&type=convert_url
凤凰传奇-御龙归字谣[480*320],http://antiserver.kuwo.cn/anti.s?rid=MUSIC_1164118&response=res&format=mp4&type=convert_url
凤凰传奇-月亮之上[0*0],http://antiserver.kuwo.cn/anti.s?rid=MUSIC_7084968&response=res&format=mp4&type=convert_url
凤凰传奇-中国味道[853*480],http://antiserver.kuwo.cn/anti.s?rid=MUSIC_24042021&response=res&format=mp4&type=convert_url
凤凰传奇-自由飞翔[0*0],http://antiserver.kuwo.cn/anti.s?rid=MUSIC_18747906&response=res&format=mp4&type=convert_url
凤凰传奇-自由自在[853*480],http://antiserver.kuwo.cn/anti.s?rid=MUSIC_24042025&response=res&format=mp4&type=convert_url
风中花雨楼.任妙音,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgypLV4gUo-ZmUhwc.mp4
寂悸,#genre#
寂悸+木子鹏-女神精,http://em.21dtv.com/songs/60138651.mkv
寂悸-浮云梦,http://em.21dtv.com/songs/60146219.mkv
寂悸-情深深十里画廊,http://em.21dtv.com/songs/60138649.mkv
寂悸-手心里的宝,http://em.21dtv.com/songs/60145017.mkv
寂悸-有你我就会很快乐,http://em.21dtv.com/songs/60138650.mkv
冷漠,#genre#
冷漠+陈瑞-心照不宣,http://em.21dtv.com/songs/60144251.mkv
冷漠+王旭+杜青-在释放,http://em.21dtv.com/songs/60144806.mkv
冷漠+小沈龙-有梦人展翅飞翔,http://em.21dtv.com/songs/60146028.mkv
冷漠+杨小曼-爱如星火,http://em.21dtv.com/songs/60144250.mkv
冷漠+杨小曼-你不懂,http://em.21dtv.com/songs/60144805.mkv
冷漠+一飞-一辈子兄弟,http://em.21dtv.com/songs/60143150.mkv
冷漠-别把寂寞当缘分[0*0],http://antiserver.kuwo.cn/anti.s?rid=MUSIC_6210858&response=res&format=mp4&type=convert_url
冷漠-不是所有,http://em.21dtv.com/songs/60144803.mkv
冷漠-不要再说你还爱我,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_911272&response=res&format=mp4&type=convert_url
冷漠-不要再说你还爱我[569*320],http://antiserver.kuwo.cn/anti.s?rid=MUSIC_911272&response=res&format=mp4&type=convert_url
冷漠-多情的人不该相遇,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_1041689&response=res&format=mp4&type=convert_url
